timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
1777225797573000,-0.004491477,-0.002796613,0.00015888736,0.0,0.0,-0.001,0
1777225797577000,-0.004250791,-0.0027803418,1.0430813e-06,0.0,0.0,-0.001,0
1777225797589000,-0.004066633,-0.002879528,-7.079914e-06,0.0,0.0,-0.001,0
1777225797613000,-0.0036647394,-0.0024082942,-6.399304e-05,0.0,0.0,-0.001,0
1777225797629000,-0.0038948625,-0.0026014356,-1.4733523e-06,0.0,0.0,-0.001,0
1777225797649000,-0.0034373908,-0.0029613972,8.866191e-07,0.0,0.0,-0.001,0
1777225797669000,-0.003324825,-0.003040612,-5.3457916e-06,0.0,0.0,-0.001,0
1777225797689000,-0.0030733552,-0.0029932347,8.08388e-07,0.0,0.0,-0.001,0
1777225797709000,-0.003082765,-0.0022854588,0.00010735914,0.0,0.0,-0.001,0
1777225797729000,-0.0034899095,-0.0021491337,6.519258e-07,0.0,0.0,-0.001,0
1777225797753000,-0.0034878422,-0.002436398,7.497147e-07,0.0,0.0,-0.001,0
1777225797769000,-0.0039614667,-0.0026919523,9.3877316e-07,0.0,0.0,-0.001,0
1777225797789000,-0.0037771098,-0.0024974437,1.1695549e-05,0.0,0.0,-0.001,0
1777225797809000,-0.00363996,-0.0021632437,6.975606e-07,0.0,0.0,-0.001,0
1777225797829000,-0.003654646,-0.0018934226,3.8013794e-05,0.0,0.0,-0.001,0
1777225797849000,-0.0036984365,-0.0020883847,6.7800283e-07,0.0,0.0,-0.001,0
1777225797869000,-0.0028780564,-0.00166273,7.302221e-05,0.0,0.0,-0.001,0
1777225797893000,-0.0026444679,-0.0017524196,4.016515e-05,0.0,0.0,-0.001,0
1777225797909000,-0.0024497365,-0.001982565,-6.731786e-05,0.0,0.0,-0.001,0
1777225797933000,-0.0023659922,-0.0019659763,-2.4401583e-05,0.0,0.0,-0.001,0
1777225797949000,-0.002239418,-0.002238682,1.7347746e-05,0.0,0.0,-0.001,0
1777225797969000,-0.0024592145,-0.0022027688,4.824251e-07,0.0,0.0,-0.001,0
1777225797993000,-0.0015749815,-0.002155286,2.9988587e-07,0.0,0.0,-0.001,0
1777225798013000,-0.0018431972,-0.0023505476,8.565653e-05,0.0,0.0,-0.001,0
1777225798033000,-0.0020518596,-0.0029586235,5.3457916e-07,0.0,0.0,-0.001,0
1777225798049000,-0.0018040001,-0.0033124844,5.2154064e-07,0.0,0.0,-0.001,0
1777225798069000,-0.0020257442,-0.003544603,0.00011571031,0.0,0.0,-0.001,0
1777225798093000,-0.0019753582,-0.0040080836,1.4622696e-05,0.0,0.0,-0.001,0
1777225798109000,-0.0021468091,-0.0037768348,1.7888844e-05,0.0,0.0,-0.001,0
1777225798129000,-0.0020258282,-0.0037137447,6.649643e-07,0.0,0.0,-0.001,0
1777225798149000,-0.0021485398,-0.0036944845,5.984679e-06,0.0,0.0,-0.001,0
1777225798169000,-0.0024647024,-0.0034788714,7.627532e-07,0.0,0.0,-0.001,0
1777225798189000,-0.0026323511,-0.003416536,3.0999072e-05,0.0,0.0,-0.001,0
1777225798213000,-0.002250201,-0.0029424492,7.2520226e-05,0.0,0.0,-0.001,0
1777225798229000,-0.0024637335,-0.0033464718,4.0106475e-05,0.0,0.0,-0.001,0
1777225798249000,-0.0023712732,-0.0036785414,7.757917e-07,0.0,0.0,-0.001,0
1777225798269000,-0.0025520478,-0.0033198344,-2.855435e-05,0.0,0.0,-0.001,0
1777225798289000,-0.0027139431,-0.0031247723,7.497147e-07,0.0,0.0,-0.001,0
1777225798309000,-0.0029326463,-0.0031378933,4.1156076e-05,0.0,0.0,-0.001,0
1777225798329000,-0.0024665773,-0.002911661,6.2584877e-07,0.0,0.0,-0.001,0
1777225798349000,-0.002689431,-0.0029222888,-3.109686e-05,0.0,0.0,-0.001,0
1777225798373000,-0.0023460016,-0.0027541108,3.4838915e-05,0.0,0.0,-0.001,0
1777225798393000,-0.0026419428,-0.002687684,6.2584877e-07,0.0,0.0,-0.001,0
1777225798413000,-0.0029234376,-0.003013838,-0.00010347366,0.0,0.0,-0.001,0
1777225798429000,-0.003034676,-0.002913348,-4.6677887e-05,0.0,0.0,-0.001,0
1777225798449000,-0.0026349323,-0.0021427928,4.954636e-07,0.0,0.0,-0.001,0
1777225798469000,-0.002153676,-0.002661738,-2.0092353e-05,0.0,0.0,-0.001,0
1777225798493000,-0.0021005527,-0.0019571632,3.6657788e-05,0.0,0.0,-0.001,0
1777225798509000,-0.001950514,-0.0021475381,-0.00010042917,0.0,0.0,-0.001,0
1777225798533000,-0.0020664125,-0.001977278,1.150649e-05,0.0,0.0,-0.001,0
1777225798553000,-0.0020541863,-0.0022599723,4.172325e-07,0.0,0.0,-0.001,0
1777225798569000,-0.0022663856,-0.0022540095,4.6286732e-07,0.0,0.0,-0.001,0
1777225798593000,0.020792527,0.019253744,0.00013094582,0.0,0.0,-0.0060350383,0
1777225798613000,-0.0061259205,-0.0068715326,0.00013976637,0.0,0.0,-0.007898606,0
1777225798629000,-0.007840263,-0.007123687,0.00021265168,0.0,0.0,-0.009733692,0
1777225798649000,-0.008835908,-0.007002652,-0.00015049707,0.0,0.0,-0.012843545,0
1777225798673000,-0.00860685,-0.0075966604,0.00012029335,0.0,0.0,-0.016095074,0
