timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1777226214745000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226215249000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226215753000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226216257000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226216761000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226217265000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226217769000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226218273000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226218285000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226218297000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226218561000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226219065000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226219569000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226220073000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226220577000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226221081000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226221585000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226222089000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226222593000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226223097000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226223601000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226224105000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226224609000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226225113000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226225617000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226226121000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226226625000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226227129000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226227633000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226228137000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226228581000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777226229089000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
