timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777226214745000,1777226214745000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226214749000,1777226214749000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226214845000,1777226214845000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226214941000,1777226214941000,0.0019999999,1.8626451e-09,0.0019999987,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215041000,1777226215041000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215145000,1777226215145000,0.0020000008,0.0,0.0020000008,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215245000,1777226215245000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215345000,1777226215345000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215445000,1777226215445000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215545000,1777226215545000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215645000,1777226215645000,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215745000,1777226215745000,0.002,0.0,0.0019999999,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215845000,1777226215845000,0.026211595,0.0011137805,0.028393073,0.0004219127,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226215945000,1777226215945000,0.03825376,0.017424466,0.043463748,0.013356678,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216045000,1777226216045000,0.05645107,0.03260135,0.060694683,0.030093864,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216145000,1777226216145000,0.069792636,0.05360121,0.07444403,0.051742718,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216245000,1777226216245000,0.09403895,0.07169254,0.09840954,0.070138715,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216345000,1777226216345000,0.11173901,0.09657079,0.121951975,0.089214586,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216445000,1777226216445000,0.14019246,0.11844931,0.14428717,0.11604179,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216545000,1777226216545000,0.16409583,0.14469509,0.16829586,0.14008713,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216645000,1777226216645000,0.19294088,0.17190653,0.19807267,0.16848399,nan,nan,nan,nan,nan,nan,nan,nan,0
1777226216745000,1777226216745000,0.22137623,0.19993119,0.22777963,0.19515929,nan,nan,nan,nan,nan,nan,nan,nan,0
