timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1777226214361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226215361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226216361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226217361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226218361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226219361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226220361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226221361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226222361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226223361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226224361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226225361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226226361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226227361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226228361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1777226229361000,1777226160209000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
