timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1777226214745000,1777226214745000,-0.29358196,0.00289064,-9.814793
1777226214749000,1777226214749000,-0.29679647,0.010468798,-9.810717
1777226214797000,1777226214797000,-0.3506121,0.0063432204,-9.790797
1777226214845000,1777226214845000,-0.2945719,0.04738416,-9.81734
1777226214897000,1777226214897000,-0.26043677,0.0043982603,-9.825982
1777226214945000,1777226214945000,-0.2870959,-0.03579898,-9.819953
1777226214997000,1777226214997000,-0.30661523,0.06612861,-9.849299
1777226215045000,1777226215045000,-0.3207155,0.028678346,-9.834589
1777226215097000,1777226215097000,-0.31280386,0.029623099,-9.82682
1777226215145000,1777226215145000,-0.302104,0.0060543534,-9.791925
1777226215197000,1777226215197000,-0.27177876,-0.030546844,-9.784674
1777226215245000,1777226215245000,-0.31494603,0.039369803,-9.813361
1777226215297000,1777226215297000,-0.3233123,0.007300794,-9.834002
1777226215345000,1777226215345000,-0.28332672,0.0039018248,-9.844602
1777226215397000,1777226215397000,-0.2949738,0.02116493,-9.793971
1777226215445000,1777226215445000,-0.2877319,0.027331479,-9.811718
1777226215497000,1777226215497000,-0.32777062,-0.035757672,-9.837622
1777226215545000,1777226215545000,-0.30376765,-0.0025936626,-9.834936
1777226215597000,1777226215597000,-0.29084638,0.021529343,-9.806932
1777226215645000,1777226215645000,-0.325506,-0.008069346,-9.827091
1777226215697000,1777226215697000,-0.32868487,-0.01628161,-9.794448
1777226215745000,1777226215745000,-0.321983,-0.02237556,-9.777788
1777226215797000,1777226215797000,-0.30695564,-0.012116327,-9.8503685
1777226215845000,1777226215845000,-0.26185888,-0.044475906,-9.807746
1777226215897000,1777226215897000,-0.32464918,0.03850179,-9.81977
1777226215945000,1777226215945000,-0.26860824,0.0115885055,-9.809273
1777226215997000,1777226215997000,-0.29061037,-0.025269506,-9.819072
1777226216045000,1777226216045000,-0.3016506,0.024888866,-9.771196
1777226216097000,1777226216097000,-0.29803884,-0.016156606,-9.824348
1777226216145000,1777226216145000,-0.3001518,0.0010748652,-9.821983
1777226216197000,1777226216197000,-0.31314525,-0.027501915,-9.803495
1777226216245000,1777226216245000,-0.29828623,0.010205306,-9.7855425
1777226216297000,1777226216297000,-0.33520144,-0.011587007,-9.808044
1777226216345000,1777226216345000,-0.31186873,-0.03089835,-9.812183
1777226216397000,1777226216397000,-0.31000194,0.0059986664,-9.8037
1777226216445000,1777226216445000,-0.3291419,0.024560036,-9.809916
1777226216497000,1777226216497000,-0.32021835,0.0076584914,-9.810986
1777226216545000,1777226216545000,-0.30445793,0.019530807,-9.791487
1777226216597000,1777226216597000,-0.3128629,0.010276471,-9.788482
1777226216645000,1777226216645000,-0.2604731,0.029038418,-9.810226
1777226216697000,1777226216697000,-0.30167586,0.023402788,-9.824066
1777226216745000,1777226216745000,-0.31486958,0.019891523,-9.841496
1777226216797000,1777226216797000,-0.33497685,-0.007026035,-9.7804985
1777226216845000,1777226216845000,-0.27851415,0.0005188831,-9.81516
1777226216897000,1777226216897000,-0.29140905,0.013008866,-9.784015
1777226216945000,1777226216945000,-0.30893245,-0.019293666,-9.827779
1777226216997000,1777226216997000,-0.30909002,-0.026629241,-9.723077
1777226217045000,1777226217045000,-0.3250454,0.004978388,-9.815052
1777226217097000,1777226217097000,-0.29138386,-0.037329342,-9.770814
1777226217145000,1777226217145000,-0.29370087,0.012296101,-9.774454
1777226217197000,1777226217197000,-0.2993764,0.05337838,-9.8486
1777226217245000,1777226217245000,-0.27356678,-0.032947477,-9.805292
1777226217297000,1777226217297000,-0.29893407,-0.029414188,-9.80836
1777226217345000,1777226217345000,-0.30843908,-0.019425537,-9.808559
1777226217397000,1777226217397000,-0.29984164,-0.053288728,-9.759798
1777226217445000,1777226217445000,-0.30266067,-0.010162698,-9.7789755
1777226217497000,1777226217497000,-0.30299056,-0.02885788,-9.80655
1777226217545000,1777226217545000,0.01329457,-0.023400938,-10.085257
1777226217597000,1777226217597000,-0.0019845143,0.048836455,-10.485533
1777226217645000,1777226217645000,0.020050712,0.002233617,-10.8220005
1777226217697000,1777226217697000,0.015172135,0.035318475,-11.036213
1777226217745000,1777226217745000,0.0009645929,-0.019002475,-11.275122
1777226217797000,1777226217797000,0.0045181327,0.024956629,-11.449154
1777226217845000,1777226217845000,-0.018099828,0.025981836,-11.561065
1777226217897000,1777226217897000,0.06375848,0.007735666,-11.680563
1777226217945000,1777226217945000,-0.019809693,-0.037683535,-11.751484
1777226217997000,1777226217997000,0.026226958,0.04800605,-11.86968
1777226218045000,1777226218045000,-0.0035099615,-0.04014342,-11.8923855
1777226218097000,1777226218097000,-0.0067649754,0.0060966285,-11.963685
1777226218145000,1777226218145000,0.019735545,-0.011851788,-11.976675
1777226218197000,1777226218197000,-0.0026571853,-0.013977475,-12.041212
1777226218245000,1777226218245000,0.0028589235,0.023001572,-12.055398
1777226218297000,1777226218297000,-0.0073302323,0.022234892,-12.066069
1777226218345000,1777226218345000,0.030410083,-0.012829724,-12.047061
1777226218397000,1777226218397000,-0.017228117,0.033483956,-12.064526
1777226218445000,1777226218445000,0.013584564,0.056398217,-12.072911
1777226218497000,1777226218497000,-0.02858595,0.021228798,-12.120188
1777226218545000,1777226218545000,-0.0127171,-0.0016469427,-12.094191
1777226218597000,1777226218597000,0.00901741,0.039719075,-12.079895
1777226218645000,1777226218645000,-0.0034655142,0.049726788,-12.048407
1777226218697000,1777226218697000,0.0029490055,0.065083995,-12.05863
1777226218745000,1777226218745000,0.042495888,-0.031048352,-12.059542
1777226218797000,1777226218797000,0.011033472,0.032485727,-8.852113
1777226218845000,1777226218845000,0.043784395,0.023130806,-8.921044
1777226218897000,1777226218897000,-0.0070398506,-0.006106166,-9.229636
1777226218945000,1777226218945000,0.019025948,-0.007967898,-9.385665
1777226218997000,1777226218997000,0.022001993,0.027220618,-9.575079
1777226219045000,1777226219045000,0.02387691,0.018954009,-9.7558365
1777226219097000,1777226219097000,0.000507029,-0.017266313,-9.839354
