timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
1777226738056000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1,0,0
1777226738068000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,0,0
1777226738080000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,12,1,1,0,0
1777226738092000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,13,1,1,0,0
1777226738104000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,0,0
1777226738116000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,15,1,1,0,0
1777226738128000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,16,1,1,0,0
1777226738140000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,17,1,1,0,0
1777226738152000,47.3977419,8.5455939,487.992,0.0,0.0,0.0,0.0,0.0,0.0,18,1,1,0,0
1777226738164000,47.397742099999995,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,19,1,1,0,0
1777226738180000,47.397742099999995,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,0,0
1777226738192000,47.397742099999995,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,0,0
1777226738204000,47.397742099999995,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1,0,0
1777226738216000,47.397742099999995,8.545594,488.004,0.0,0.0,0.0,0.0,0.0,0.0,23,1,1,0,0
1777226738228000,47.397742099999995,8.545594,488.004,0.0,0.0,0.0,0.0,0.0,0.0,24,1,1,0,0
1777226738240000,47.397742099999995,8.545594,488.004,0.0,0.0,0.0,0.0,0.0,0.0,25,1,1,0,0
1777226738252000,47.397742099999995,8.545594,488.004,0.0,0.0,0.0,0.0,0.0,0.0,26,1,1,0,0
1777226738264000,47.397742,8.5455939,488.006,0.0,0.0,0.0,0.0,0.0,0.0,27,1,1,0,0
1777226738276000,47.397742,8.5455939,488.006,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,0,0
1777226738288000,47.397742,8.5455939,488.006,0.0,0.0,0.0,0.0,0.0,0.0,29,1,1,0,0
1777226738300000,47.397742,8.5455939,488.006,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1,0,0
1777226738312000,47.3977419,8.5455939,487.99,0.0,0.0,0.0,0.0,0.0,0.0,31,1,1,0,0
1777226738324000,47.3977419,8.5455939,487.99,0.0,0.0,0.0,0.0,0.0,0.0,32,1,1,0,0
1777226738336000,47.3977419,8.5455939,487.99,0.0,0.0,0.0,0.0,0.0,0.0,33,1,1,0,0
1777226738348000,47.3977419,8.5455939,487.99,0.0,0.0,0.0,0.0,0.0,0.0,34,1,1,0,0
1777226738360000,47.3977418,8.545594,487.977,0.0,0.0,0.0,0.0,0.0,0.0,35,1,1,0,0
1777226738372000,47.3977418,8.545594,487.977,0.0,0.0,0.0,0.0,0.0,0.0,36,1,1,0,0
1777226738384000,47.3977418,8.545594,487.977,0.0,0.0,0.0,0.0,0.0,0.0,37,1,1,0,0
1777226738396000,47.3977418,8.545594,487.977,0.0,0.0,0.0,0.0,0.0,0.0,38,1,1,0,0
1777226738408000,47.3977418,8.545594,487.977,0.0,0.0,0.0,0.0,0.0,0.0,39,1,1,0,0
1777226738420000,47.3977419,8.5455939,487.984,0.0,0.0,0.0,0.0,0.0,0.0,40,1,1,0,0
1777226738432000,47.3977419,8.5455939,487.984,0.0,0.0,0.0,0.0,0.0,0.0,41,1,1,0,0
1777226738444000,47.3977419,8.5455939,487.984,0.0,0.0,0.0,0.0,0.0,0.0,42,1,1,0,0
1777226738456000,47.3977419,8.5455939,487.984,0.0,0.0,0.0,0.0,0.0,0.0,43,1,1,0,0
1777226738468000,47.3977419,8.5455939,487.978,0.0,0.0,0.0,0.0,0.0,0.0,44,1,1,0,0
1777226738480000,47.3977419,8.5455939,487.978,0.0,0.0,0.0,0.0,0.0,0.0,45,1,1,0,0
1777226738492000,47.3977419,8.5455939,487.978,0.0,0.0,0.0,0.0,0.0,0.0,46,1,1,0,0
1777226738504000,47.3977419,8.5455939,487.978,0.0,0.0,0.0,0.0,0.0,0.0,47,1,1,0,0
1777226738516000,47.3977419,8.5455939,487.978,0.0,0.0,0.0,0.0,0.0,0.0,48,1,1,0,0
1777226738528000,47.397742,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,49,1,1,0,0
1777226738540000,47.397742,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,50,1,1,0,0
1777226738552000,47.397742,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,51,1,1,0,0
1777226738564000,47.397742,8.5455939,487.994,0.0,0.0,0.0,0.0,0.0,0.0,52,1,1,0,0
1777226738576000,47.397742,8.5455939,487.988,0.0,0.0,0.0,0.0,0.0,0.0,53,1,1,0,0
1777226738588000,47.397742,8.5455939,487.988,0.0,0.0,0.0,0.0,0.0,0.0,54,1,1,0,0
1777226738600000,47.397742,8.5455939,487.988,0.0,0.0,0.0,0.0,0.0,0.0,55,1,1,0,0
1777226738612000,47.397742,8.5455939,487.988,0.0,0.0,0.0,0.0,0.0,0.0,56,1,1,0,0
1777226738624000,47.397742099999995,8.5455939,487.995,0.0,0.0,0.0,0.0,0.0,0.0,57,1,1,0,0
1777226738636000,47.397742099999995,8.5455939,487.995,0.0,0.0,0.0,0.0,0.0,0.0,58,1,1,0,0
1777226738648000,47.397742099999995,8.5455939,487.995,0.0,0.0,0.0,0.0,0.0,0.0,59,1,1,0,0
1777226738660000,47.397742099999995,8.5455939,487.995,0.0,0.0,0.0,0.0,0.0,0.0,60,1,1,0,0
1777226738672000,47.397742099999995,8.5455939,487.995,0.0,0.0,0.0,0.0,0.0,0.0,61,1,1,0,0
1777226738684000,47.397742,8.5455939,487.998,0.0,0.0,0.0,0.0,0.0,0.0,62,1,1,0,0
1777226738696000,47.397742,8.5455939,487.998,0.0,0.0,0.0,0.0,0.0,0.0,63,1,1,0,0
1777226738708000,47.397742,8.5455939,487.998,0.0,0.0,0.0,0.0,0.0,0.0,64,1,1,0,0
1777226738720000,47.397742,8.5455939,487.998,0.0,0.0,0.0,0.0,0.0,0.0,65,1,1,0,0
1777226738732000,47.397742,8.5455939,487.997,0.0,0.0,0.0,0.0,0.0,0.0,66,1,1,0,0
1777226738744000,47.397742,8.5455939,487.997,0.0,0.0,0.0,0.0,0.0,0.0,67,1,1,0,0
1777226738756000,47.397742,8.5455939,487.997,0.0,0.0,0.0,0.0,0.0,0.0,68,1,1,0,0
1777226738768000,47.397742,8.5455939,487.997,0.0,0.0,0.0,0.0,0.0,0.0,69,1,1,0,0
1777226738780000,47.397742099999995,8.545594,487.997,0.0,0.0,0.0,0.0,0.0,0.0,70,1,1,0,0
1777226738792000,47.397742099999995,8.545594,487.997,0.0,0.0,0.0,0.0,0.0,0.0,71,1,1,0,0
1777226738804000,47.397742099999995,8.545594,487.997,0.0,0.0,0.0,0.0,0.0,0.0,72,1,1,0,0
1777226738816000,47.397742099999995,8.545594,487.997,0.0,0.0,0.0,0.0,0.0,0.0,73,1,1,0,0
1777226738828000,47.397742099999995,8.545594,487.997,0.0,0.0,0.0,0.0,0.0,0.0,74,1,1,0,0
1777226738840000,47.397742,8.545594099999999,488.007,0.0,0.0,0.0,0.0,0.0,0.0,75,1,1,0,0
1777226738852000,47.397742,8.545594099999999,488.007,0.0,0.0,0.0,0.0,0.0,0.0,76,1,1,0,0
1777226738864000,47.397742,8.545594099999999,488.007,0.0,0.0,0.0,0.0,0.0,0.0,77,1,1,0,0
1777226738876000,47.397742,8.545594099999999,488.007,0.0,0.0,0.0,0.0,0.0,0.0,78,1,1,0,0
1777226738888000,47.397742,8.5455942,487.994,0.0,0.0,0.0,0.0,0.0,0.0,79,1,1,0,0
