timestamp,command,result_param2,target_component,result,result_param1,target_system,from_external
1777226729832000,211,0,192,5,255,131,0
1777226730928000,211,0,192,0,0,131,0
1777226746044000,410,0,0,0,0,255,0
1777226746260000,176,0,0,0,0,255,0
1777226746272000,176,0,0,0,0,255,0
1777226746356000,400,0,0,0,0,255,0
1777226777260000,179,0,0,0,0,255,0
1777226830444000,176,0,190,0,0,255,0
