timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1777226729656000,0,1,1,1,0,0,1,1,0,0,1,1
1777226730536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226731536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226732536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226733536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226734536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226735536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226736536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226737536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226738536000,0,1,1,1,1,1,1,0,0,0,1,1
1777226739200000,0,1,1,1,0,0,1,0,0,0,1,1
1777226739216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226740216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226741216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226742216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226743216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226744216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226745216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226746216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226747216000,0,1,1,1,1,1,1,0,0,0,1,1
1777226748176000,0,1,0,0,1,1,1,0,0,0,1,0
1777226748280000,0,0,0,0,1,0,1,0,0,0,1,0
1777226749280000,0,0,0,0,1,0,0,0,0,0,1,0
1777226750280000,0,0,0,0,1,0,0,0,0,0,1,0
1777226750368000,0,0,0,0,0,0,0,0,0,0,1,0
1777226751368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226752368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226753368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226754368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226755368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226756368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226757368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226758368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226759368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226760368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226761368000,0,0,0,0,0,0,0,1,0,0,1,0
1777226762368000,0,0,0,0,0,0,0,1,0,1,1,0
1777226763368000,0,0,0,0,0,0,0,0,1,0,1,0
1777226764368000,0,0,0,0,0,0,0,0,1,1,1,0
1777226765368000,0,0,0,0,0,0,0,0,1,0,1,0
1777226766368000,0,0,0,0,0,0,0,0,1,0,1,0
1777226767368000,0,0,0,0,0,0,0,0,1,0,1,0
1777226768368000,0,0,0,0,0,0,0,0,1,0,1,0
