timestamp,control_power[0],control_power[1],control_power[2]
1777226729960000,3.9299416e-06,3.825136e-06,7.603955e-08
1777226730460000,4.0594537e-06,5.218025e-06,4.3637826e-08
1777226730960000,4.8147017e-06,2.496215e-06,1.1543028e-07
1777226731460000,3.2677467e-06,2.9452715e-06,5.976274e-08
1777226731960000,4.3884525e-06,3.1769475e-06,3.5412697e-08
1777226732460000,2.8696293e-06,3.660241e-06,1.19328e-07
1777226732960000,3.0755766e-06,5.1503425e-06,4.695157e-08
1777226733460000,4.257024e-06,3.5526493e-06,8.2564895e-08
1777226733960000,3.5416465e-06,2.7283288e-06,1.2522132e-07
1777226734460000,3.5452347e-06,3.7442508e-06,9.823631e-08
1777226734960000,4.0749037e-06,3.0267665e-06,7.2506644e-08
1777226735460000,3.6844863e-06,4.212234e-06,9.837682e-08
1777226735960000,4.053519e-06,3.8818143e-06,1.1706872e-07
1777226736460000,3.4030752e-06,4.266631e-06,1.15438404e-07
1777226736960000,4.0987206e-06,2.9482462e-06,4.0203993e-08
1777226737460000,3.716896e-06,3.1781767e-06,2.6481786e-07
1777226737960000,3.0367098e-06,4.3140494e-06,3.9053436e-08
1777226738460000,4.7371655e-06,2.907824e-06,4.986831e-08
1777226738960000,3.1940374e-06,3.3929284e-06,1.09121444e-07
1777226739460000,2.947802e-06,3.1775903e-06,7.100095e-08
1777226739960000,3.2205867e-06,4.931126e-06,1.4798229e-07
1777226740460000,4.7842695e-06,4.6566474e-06,7.452402e-08
1777226740960000,5.0659287e-06,4.552618e-06,1.4005762e-07
1777226741460000,3.9810548e-06,3.140932e-06,4.0313996e-08
1777226741960000,4.075297e-06,5.391981e-06,8.002614e-08
1777226742460000,5.36074e-06,3.5975427e-06,1.9088948e-07
1777226742960000,5.725368e-06,5.3235035e-06,5.8220948e-08
1777226743460000,5.1602465e-06,6.5204995e-06,7.1632606e-08
1777226743960000,5.3318477e-06,5.655614e-06,6.286026e-08
1777226744460000,4.9034797e-06,5.1327143e-06,8.679536e-08
1777226744960000,3.3104054e-06,4.7060003e-06,4.913359e-08
1777226745460000,2.772823e-06,4.4700764e-06,7.3692945e-08
1777226745960000,4.072847e-06,4.6256655e-06,2.3358751e-07
1777226746460000,3.0380106e-06,3.4478858e-06,2.7399185e-08
1777226746960000,3.5070789e-06,4.2392185e-06,2.74907e-08
1777226747460000,3.3172912e-06,6.908563e-06,1.6769745e-07
1777226747960000,2.7709502e-06,6.952635e-06,9.4406e-08
1777226748460000,3.7604925e-06,8.4546655e-06,1.02897246e-07
1777226748960000,7.255442e-06,1.2885413e-05,1.8886885e-07
1777226749460000,2.4840929e-05,3.0546977e-05,1.3360133e-07
1777226749960000,6.009902e-05,5.0140254e-05,7.0486394e-08
1777226750460000,2.3464667e-05,2.2473965e-05,1.0335886e-07
1777226750960000,4.914048e-06,9.680738e-06,8.028054e-08
1777226751460000,9.437118e-06,1.4903895e-05,5.837299e-08
1777226751960000,3.7277796e-06,7.205816e-06,4.539554e-08
1777226752460000,3.977191e-06,1.0479584e-05,6.702524e-08
1777226752960000,6.2564122e-06,1.0126475e-05,1.0862417e-07
1777226753460000,4.5501815e-06,7.3313913e-06,4.5720885e-08
1777226753960000,9.922875e-06,1.0648917e-05,1.7757996e-07
1777226754460000,9.025898e-06,4.6354526e-06,4.3473472e-07
1777226754960000,1.0559443e-05,5.274404e-06,3.8802497e-07
1777226755460000,5.3662507e-06,1.0466814e-05,2.7884562e-07
1777226755960000,1.0202728e-05,6.6923076e-06,1.6692904e-07
1777226756460000,5.8511364e-06,5.0353196e-06,1.6192709e-07
1777226756960000,4.338824e-06,5.5018318e-06,1.1640539e-07
1777226757460000,3.6662004e-06,6.1311243e-06,6.224989e-08
1777226757960000,4.71632e-06,4.540879e-06,5.4489725e-08
1777226758460000,8.743418e-06,3.2945193e-06,5.298805e-08
