timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
1777226729828000,4.64541404191724e-310,4.64541413118566e-310,-9.2293136e-05,1.0,-9.229686e-05,3.0676e-41,-7.938534e-05,211,36288,193,184,131,85,0
1777226746260000,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,0,1,1,255,0,1
1777226746344000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,0,1,1,255,0,1
1777226777248000,47.397743225097656,8.545594215393066,0.0,0.0,0.0,0.0,483.009,179,0,1,1,255,0,1
1777226815540000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
1777226815808000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226815808000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777226815808000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226830444000,0.0,0.0,157.0,4.0,5.0,0.0,0.0,176,190,1,0,255,1,1
1777226830712000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226830712000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777226830712000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226910256000,0.0,0.0,0.0,2.0,80.0,nan,483.009,0,1,1,0,1,0,0
