timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1777226730200000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730208000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730224000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730232000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730240000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730248000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730256000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730264000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730272000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730280000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730296000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730304000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730320000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730328000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730336000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730344000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730360000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730368000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730376000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730384000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730400000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730408000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730416000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730424000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730440000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730448000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730456000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730464000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730472000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730488000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730496000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730504000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730512000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730528000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730536000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730544000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730560000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730568000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730576000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730584000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730592000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730608000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730616000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730624000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730640000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730648000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730656000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730664000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730680000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730688000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730696000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730704000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730720000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730728000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730736000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730744000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730752000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730768000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730776000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730784000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730800000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730808000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730816000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730824000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730832000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730840000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730856000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730864000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730872000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730888000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730896000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730904000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730920000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730928000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730936000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730944000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730960000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730968000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730976000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226730984000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731000000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731008000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731016000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731024000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731032000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731040000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731056000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731064000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731072000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731088000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731096000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731104000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731120000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731128000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731136000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731144000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731160000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731168000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731176000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731184000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731200000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731208000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731216000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731224000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731240000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731248000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731256000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731264000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731280000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731288000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731296000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731304000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731320000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731328000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731336000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731344000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731360000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731368000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731376000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731384000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731400000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731408000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731416000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731424000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731440000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731448000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731456000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731464000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731480000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731488000,0,0.0,0.0,0.0,0.0,0.0,0.0
1777226731496000,0,0.0,0.0,0.0,0.0,0.0,0.0
