timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1777226731064000,1777226731064000,1310988,-0.013848438,-0.008522116,0.0063915867,0.0,0,0,0,0,1
1777226732064000,1777226732064000,1310988,0.0,0.009054748,-0.007456851,0.0,0,0,0,0,1
1777226733064000,1777226733064000,1310988,0.007456851,0.0015978967,0.0,0.0,0,0,0,0,1
1777226734064000,1777226734064000,1310988,0.0026631611,0.006924219,0.00479369,0.0,0,0,0,0,1
1777226735064000,1777226735064000,1310988,-0.0037284256,-0.007989483,0.0026631611,0.0,0,0,0,0,1
1777226736064000,1777226736064000,1310988,-0.0010652645,-0.0127831735,-0.00479369,0.0,0,0,0,0,1
1777226737064000,1777226737064000,1310988,-0.00479369,0.007989483,-0.014913702,0.0,0,0,0,0,1
1777226738064000,1777226738064000,1310988,0.0010652645,-0.004261058,-0.0127831735,0.0,0,0,0,0,1
1777226739064000,1777226739064000,1310988,-0.0053263223,0.0,0.0063915867,0.0,0,0,0,0,1
1777226740064000,1777226740064000,1310988,0.0063915867,0.0005326322,-0.009054748,0.0,0,0,0,0,1
1777226741064000,1777226741064000,1310988,-0.006924219,0.00479369,0.0058589545,0.0,0,0,0,0,1
1777226742064000,1777226742064000,1310988,0.018642128,-0.00958738,-0.0031957934,0.0,0,0,0,0,1
1777226743064000,1777226743064000,1310988,0.0053263223,-0.002130529,0.006924219,0.0,0,0,0,0,1
1777226744064000,1777226744064000,1310988,0.004261058,-0.010120012,0.016511599,0.0,0,0,0,0,1
1777226745064000,1777226745064000,1310988,0.0037284256,0.010652645,-0.007989483,0.0,0,0,0,0,1
1777226746064000,1777226746064000,1310988,0.007456851,0.007456851,0.0063915867,0.0,0,0,0,0,1
1777226747064000,1777226747064000,1310988,0.007989483,0.0015978967,0.0031957934,0.0,0,0,0,0,1
1777226748064000,1777226748064000,1310988,0.01438107,0.0026631611,0.0026631611,0.0,0,0,0,0,1
