timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1777227356549000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227357053000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227357557000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227358061000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227358073000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227358577000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227359085000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227359589000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227360093000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227360597000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227361101000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227361605000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227362109000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227362613000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227363117000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227363621000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227364125000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227364629000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227365133000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227365637000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227366141000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227366645000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227367149000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227367653000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227368157000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227368661000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227369165000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227369669000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227370173000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227370677000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227371169000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
