timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
1777227356549000,1777227356397000,6620172,0.078137524,0.10333751,0.029625557,12.366989,7.885451e-06
1777227356605000,1777227356449000,6620172,0.0778703,0.10340454,-0.03168977,12.367086,9.0225285e-06
1777227356653000,1777227356501000,6620172,0.077883765,0.10333751,0.0015974715,12.366989,2.2927662e-08
1777227356709000,1777227356553000,6620172,0.077498,0.10340454,-0.045748755,12.367086,1.8803932e-05
1777227356757000,1777227356605000,6620172,0.07739475,0.10333751,-0.012251414,12.366989,1.3485467e-06
1777227356813000,1777227356657000,6620172,0.07745186,0.10340454,0.006772727,12.367086,4.1211382e-07
1777227356861000,1777227356709000,6620172,0.07743028,0.10333751,-0.0025617257,12.366989,5.8960175e-08
1777227356917000,1777227356761000,6620172,0.077407055,0.10340454,-0.0027537644,12.367086,6.8130824e-08
1777227356965000,1777227356813000,6620172,0.07734315,0.10333751,-0.007582836,12.366989,5.166029e-07
1777227357021000,1777227356865000,6620172,0.07691897,0.10340454,-0.050304577,12.367086,2.2735529e-05
1777227357069000,1777227356917000,6620172,0.07657655,0.10333751,-0.040633567,12.366989,1.4834175e-05
1777227357125000,1777227356969000,6620172,0.07678982,0.10340454,0.025291122,12.367086,5.7468033e-06
1777227357173000,1777227357021000,6620172,0.07668663,0.10333751,-0.012245141,12.366989,1.3471658e-06
1777227357229000,1777227357073000,6620172,0.07682099,0.10340454,0.015934221,12.367086,2.2811391e-06
1777227357277000,1777227357125000,6620172,0.07659796,0.10333751,-0.026466988,12.366989,6.293649e-06
1777227357333000,1777227357177000,6620172,0.0761762,0.10340454,-0.05001715,12.367086,2.2476463e-05
1777227357381000,1777227357229000,6620172,0.07615559,0.10333751,-0.0024457276,12.366989,5.3741488e-08
1777227357437000,1777227357281000,6620172,0.07569921,0.10340454,-0.054121897,12.367086,2.6316984e-05
1777227357485000,1777227357333000,6620172,0.075485885,0.10333751,-0.025314689,12.366989,5.757563e-06
1777227357541000,1777227357385000,6620172,0.0755928,0.10340454,0.012679398,12.367086,1.4443996e-06
1777227357589000,1777227357437000,6620172,0.07502908,0.10333751,-0.06689529,12.366989,4.0205417e-05
1777227357645000,1777227357489000,6620172,0.07474793,0.10340454,-0.03334207,12.367086,9.9879235e-06
1777227357693000,1777227357541000,6620172,0.07423299,0.10333751,-0.06110657,12.366989,3.3548207e-05
1777227357749000,1777227357593000,6620172,0.074199416,0.10340454,-0.003981523,12.367086,1.4242578e-07
