timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.loiter_radius,previous.loiter_minor_radius,previous.loiter_orientation,previous.acceptance_radius,previous.alt_acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.loiter_direction_counter_clockwise,previous.loiter_pattern,previous.gliding_enabled,previous._padding0[0],previous._padding0[1],previous._padding0[2],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.loiter_radius,current.loiter_minor_radius,current.loiter_orientation,current.acceptance_radius,current.alt_acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.loiter_direction_counter_clockwise,current.loiter_pattern,current.gliding_enabled,current._padding0[0],current._padding0[1],current._padding0[2],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.loiter_radius,next.loiter_minor_radius,next.loiter_orientation,next.acceptance_radius,next.alt_acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.loiter_direction_counter_clockwise,next.loiter_pattern,next.gliding_enabled,next._padding0[0],next._padding0[1],next._padding0[2]
1777227356549000,1777227356549000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227356549000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227356549000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227358073000,1777227358073000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227358073000,47.39866914986391,8.545593672187517,0.0,0.0,0.0,503.02933,nan,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,3,0,0,0,0,0,0,1777227358073000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227371181000,1777227358073000,47.398669230922465,8.545593413716883,0.0,0.0,0.0,501.47733,-0.0055975583,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227371169000,47.40001678466797,8.54559326171875,0.0,0.0,0.0,503.028,nan,0.0,0.0,0.0,2.0,0.0,-1.0,nan,1,2,0,0,0,0,0,0,1777227358073000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227410733000,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227410733000,47.40001690124335,8.545593055109286,0.0,0.0,0.0,503.0207,0.01422926,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227410789000,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227410733000,47.40001690124335,8.545593055109286,0.0,0.0,0.0,518.0285,0.01422926,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227418805000,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227418805000,47.39866917288868,8.545593698187734,0.0,0.0,0.0,518.0285,nan,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227450917000,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227450917000,47.39866917288868,8.545593698187734,0.0,0.0,0.0,488.0285,-0.005344099,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,4,0,0,0,0,0,0,1777227410733000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227481673000,1777227481673000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481673000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481673000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227481725000,1777227481725000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481725000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481725000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
1777227481829000,1777227481829000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481829000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0,1777227481829000,nan,nan,0.0,0.0,0.0,0.0,nan,80.0,0.0,0.0,2.0,0.0,-1.0,nan,0,5,0,0,0,0,0,0
