timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,nav_state_display,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,traffic_avoidance_system_present,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
1777227356549000,1777227356549000,0,1777227340445000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227357053000,1777227356549000,0,1777227340445000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227357557000,1777227356549000,0,1777227340445000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227358061000,1777227356549000,0,1777227340445000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227358073000,1777227356549000,0,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227358577000,1777227356549000,0,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227359085000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227359589000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227360093000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227360597000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227361101000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227361605000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227362109000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227362613000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227363117000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227363621000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227364125000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227364629000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227365133000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227365637000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227366141000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227366645000,1777227356549000,1777227358905000,1777227358073000,2147411327,8308095,0,2,4,6,17,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
