timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
1777227356549000,-0.0016741123,0,0,0,0,0,0,0,0,0,0
1777227357053000,-0.0019692176,0,0,0,0,0,0,0,0,0,0
1777227357557000,-0.0017679991,0,0,0,0,0,0,0,0,0,0
1777227358061000,-0.0012951066,0,0,0,0,0,0,0,0,0,0
1777227358073000,-0.0012652276,0,0,0,0,0,0,0,0,0,0
1777227358577000,-0.0011415638,0,0,0,0,0,0,0,0,0,0
1777227359085000,-0.00096766633,0,0,0,0,0,0,0,0,0,0
1777227359589000,-0.00083199935,0,0,0,0,0,0,0,0,0,0
1777227360093000,-0.000787402,0,0,0,0,0,0,0,0,0,0
1777227360597000,-0.0014014528,0,0,0,0,0,0,0,0,0,0
1777227361101000,-0.0035151306,0,0,0,0,0,0,0,0,0,0
1777227361605000,-0.008089912,0,0,0,0,0,0,0,0,0,0
1777227362109000,-0.008308638,0,0,0,0,0,0,0,0,0,0
1777227362613000,-0.009465481,0,0,0,0,0,0,0,0,0,0
1777227363117000,-0.011412561,0,0,0,0,0,0,0,0,0,0
1777227363621000,-0.011755782,0,0,0,0,0,0,0,0,0,0
1777227364125000,-0.0114356205,0,0,0,0,0,0,0,0,0,0
1777227364629000,-0.011901598,0,0,0,0,0,0,0,0,0,0
1777227365133000,-0.012241983,0,0,0,0,0,0,0,0,0,0
1777227365637000,-0.012357775,0,0,0,0,0,0,0,0,0,0
1777227366141000,-0.0129887825,0,0,0,0,0,0,0,0,0,0
1777227366645000,-0.013211686,0,0,0,0,0,0,0,0,0,0
1777227367149000,-0.012683839,0,0,0,0,0,0,0,0,0,0
1777227367653000,-0.012787834,0,0,0,0,0,0,0,0,0,0
1777227368157000,-0.012869553,0,0,0,0,0,0,0,0,0,0
1777227368661000,-0.013088736,0,0,0,0,0,0,0,0,0,0
1777227369165000,-0.016822536,0,0,0,0,0,0,0,0,0,0
1777227369669000,-0.025047656,0,0,0,0,0,0,0,0,0,0
1777227370173000,-0.029157091,0,0,0,0,0,0,0,0,0,0
1777227370677000,-0.028146766,0,0,0,0,0,0,0,0,0,0
1777227371169000,-0.026132302,0,0,0,0,0,0,0,0,0,0
1777227371181000,-0.02557752,0,0,0,0,0,0,0,0,0,0
1777227371685000,-0.023337213,0,0,0,0,0,0,0,0,0,0
1777227372189000,-0.022419639,0,0,0,0,0,0,0,0,0,0
1777227372693000,-0.020638172,0,0,0,0,0,0,0,0,0,0
1777227373197000,-0.018830802,0,0,0,0,0,0,0,0,0,0
1777227373701000,-0.018705452,0,0,0,0,0,0,0,0,0,0
1777227374205000,-0.017037297,0,0,0,0,0,0,0,0,0,0
1777227374709000,-0.015847836,0,0,0,0,0,0,0,0,0,0
1777227375213000,-0.014587495,0,0,0,0,0,0,0,0,0,0
1777227375717000,-0.013539483,0,0,0,0,0,0,0,0,0,0
1777227376225000,-0.012319321,0,0,0,0,0,0,0,0,0,0
1777227376729000,-0.011189652,0,0,0,0,0,0,0,0,0,0
1777227377233000,-0.010404025,0,0,0,0,0,0,0,0,0,0
1777227377737000,-0.008839511,0,0,0,0,0,0,0,0,0,0
1777227378241000,-0.008020917,0,0,0,0,0,0,0,0,0,0
1777227378745000,-0.007465663,0,0,0,0,0,0,0,0,0,0
1777227379249000,-0.006055224,0,0,0,0,0,0,0,0,0,0
1777227379753000,-0.004946503,0,0,0,0,0,0,0,0,0,0
1777227380257000,-0.0047118156,0,0,0,0,0,0,0,0,0,0
1777227380761000,-0.0040767184,0,0,0,0,0,0,0,0,0,0
1777227381265000,-0.0036064417,0,0,0,0,0,0,0,0,0,0
1777227381769000,-0.0029017262,0,0,0,0,0,0,0,0,0,0
1777227382273000,-0.001711678,0,0,0,0,0,0,0,0,0,0
1777227382777000,-0.0021138063,0,0,0,0,0,0,0,0,0,0
1777227383281000,-0.0018888484,0,0,0,0,0,0,0,0,0,0
