timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1777227356541000,1777227356383000,0.002658849,0.00054384297,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356589000,1777227356435000,0.001669029,0.00054101495,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356645000,1777227356487000,0.00032506578,0.0003398374,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356693000,1777227356539000,0.0014248466,0.0012641028,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356749000,1777227356591000,0.0010168409,5.8188452e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356797000,1777227356643000,0.00093327026,0.00064401847,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356853000,1777227356695000,0.00031838217,0.00025959907,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356901000,1777227356747000,0.0010098969,0.00075873744,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227356957000,1777227356799000,0.0017476233,0.0012552803,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357005000,1777227356851000,0.0017385357,0.0021490215,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357061000,1777227356903000,0.0017294952,0.0009354539,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357109000,1777227356955000,0.0027924054,0.00053080916,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357165000,1777227357007000,0.003459449,0.00037221966,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357213000,1777227357059000,0.003189683,0.00063069246,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357269000,1777227357111000,0.0021134205,0.0005267048,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357317000,1777227357163000,0.0016637307,0.0016256506,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357373000,1777227357215000,0.00091111043,1.8075923e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357421000,1777227357267000,0.0015714368,0.0005154185,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357477000,1777227357319000,0.0015632653,0.00011295799,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357525000,1777227357371000,0.0015551363,0.00058648194,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357581000,1777227357423000,0.00020443586,0.0009832125,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357629000,1777227357475000,0.0006533796,0.00017853914,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357685000,1777227357527000,0.00020465317,0.00022216959,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357733000,1777227357579000,0.0011394834,0.0006792543,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357789000,1777227357631000,0.00020950314,0.00027594183,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357837000,1777227357683000,0.0011346454,0.001675264,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357893000,1777227357735000,0.0011287453,0.0020663328,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357941000,1777227357787000,0.00094500027,0.0016558076,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227357997000,1777227357839000,0.00094008626,0.00084458507,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358045000,1777227357891000,0.0012797407,0.00035914773,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358101000,1777227357943000,0.0022149195,0.0004422805,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358149000,1777227357995000,0.0009187069,0.00083976093,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358205000,1777227358047000,0.00023885598,0.0015372986,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358253000,1777227358099000,0.00091490883,0.0010288162,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358309000,1777227358151000,0.00024138385,2.248981e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358357000,1777227358203000,0.00024012866,0.00022378888,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358413000,1777227358255000,0.00066741754,0.00022262518,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358461000,1777227358307000,0.0015819402,0.0008802171,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358517000,1777227358359000,0.0013167422,0.0017759085,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358565000,1777227358411000,0.0013098951,0.001965038,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358621000,1777227358463000,0.0016318435,0.00075547886,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358669000,1777227358515000,0.00087978254,0.00014871825,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358725000,1777227358567000,0.0015529692,0.001051396,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777227358773000,1777227358619000,0.00067775574,0.0010459287,0.0,1,0,0,0,0,0,0,0,0,0,0,0
