timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1777225937617000,1777225937465000,1310988,0.0007025429,-1.567808e-05,0.000705092,0.15,1.484897e-07,1.4833358e-07,3.1519764e-07,1310988,-0.0012947186,0.0068801963,0.010086101,0.4,8.233716e-05,9.187609e-05,8.70189e-06,197388,2.4697423e-05,-0.00040773154,0.0008664647,0.5,1.1491265e-06,1.3840191e-06,0.00014111103,1,1,1,1,1,0
1777225938617000,1777225938465000,1310988,0.00069044007,-1.3628543e-05,0.000705162,0.15,1.4818109e-07,1.4802295e-07,3.135862e-07,1310988,-0.0012979544,0.006870279,0.010052328,0.4,8.239237e-05,9.191818e-05,8.700562e-06,197388,2.3984141e-05,-0.00041116186,0.000864119,0.5,1.1479556e-06,1.3832747e-06,0.00014110941,1,1,1,1,1,0
1777225939617000,1777225939465000,1310988,0.0006783734,-1.5553243e-05,0.0006981317,0.15,1.4795741e-07,1.4781806e-07,3.1342788e-07,1310988,-0.0013055229,0.006862187,0.009975559,0.4,8.245e-05,9.19657e-05,8.699208e-06,197388,2.5579315e-05,-0.00041118244,0.0008661926,0.5,1.1470416e-06,1.382739e-06,0.00014110838,1,1,1,1,1,0
1777225940617000,1777225940465000,1310988,0.0006697482,-1.0180942e-05,0.000692077,0.15,1.4762618e-07,1.4753681e-07,3.1272154e-07,1310988,-0.0013003004,0.0068584215,0.00988209,0.4,8.250748e-05,9.201736e-05,8.69418e-06,197388,2.5200019e-05,-0.0004136341,0.0008651668,0.5,1.1459136e-06,1.3823085e-06,0.00014110685,1,0,1,0,1,0
1777225941617000,1777225941465000,1310988,0.0006578013,-3.8864343e-07,0.0006999488,0.15,1.4806632e-07,1.4806317e-07,3.1333357e-07,1310988,-0.0012916562,0.006877339,0.009790943,0.4,8.2566774e-05,9.207834e-05,8.692959e-06,197388,2.9929675e-05,-0.0004130804,0.00086919067,0.5,1.1448104e-06,1.3821328e-06,0.00014110496,1,0,1,0,1,0
1777225942617000,1777225942465000,1310988,0.0006413937,4.3337295e-06,0.0006987203,0.15,1.483644e-07,1.4841781e-07,3.1484345e-07,1310988,-0.0012935374,0.0068839993,0.009649606,0.4,8.262731e-05,9.214104e-05,8.691791e-06,197388,3.3067827e-05,-0.00041381558,0.00086842716,0.5,1.1438821e-06,1.3820448e-06,0.00014110263,1,0,1,0,1,0
1777225943617000,1777225943465000,1310988,0.000628217,1.1561511e-05,0.0006874781,0.15,1.4819932e-07,1.48282e-07,3.1528924e-07,1310988,-0.0012760228,0.006892635,0.009419196,0.4,8.268361e-05,9.2199734e-05,8.690647e-06,197388,3.5408415e-05,-0.0004159508,0.0008713,0.5,1.1427867e-06,1.3819724e-06,0.00014110078,1,0,1,0,1,0
1777225944617000,1777225944465000,1310988,0.0006179997,1.9525127e-05,0.0006753032,0.15,1.477577e-07,1.4780892e-07,3.1621548e-07,1310988,-0.0012574269,0.006903397,0.009302183,0.4,8.2741775e-05,9.2259615e-05,8.68571e-06,197388,3.933835e-05,-0.0004181033,0.0008744881,0.5,1.1417693e-06,1.3819398e-06,0.00014109927,1,0,1,0,1,0
1777225945617000,1777225945465000,1310988,0.0006214057,1.5055395e-05,0.000683771,0.15,1.4797297e-07,1.4792886e-07,3.1660574e-07,1310988,-0.0012571124,0.00690273,0.009262835,0.4,8.280485e-05,9.232549e-05,8.684672e-06,197388,3.491382e-05,-0.00041708924,0.00087266904,0.5,1.1407317e-06,1.3819515e-06,0.00014109787,1,0,1,0,1,0
1777225946617000,1777225946465000,1310988,0.0006339641,4.925713e-07,0.0006836893,0.15,1.4830033e-07,1.4820954e-07,3.1788912e-07,1310988,-0.0012432873,0.006892878,0.009229896,0.4,8.286912e-05,9.239193e-05,8.683653e-06,197388,3.253525e-05,-0.0004165459,0.0008738076,0.5,1.1398704e-06,1.381999e-06,0.00014109544,1,0,1,0,1,0
