timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
1777225937769000,-0.0011566142,0,0,0,0,0,0,0,0,0,0
1777225938273000,-0.0013803166,0,0,0,0,0,0,0,0,0,0
1777225938777000,-0.0013357535,0,0,0,0,0,0,0,0,0,0
1777225938897000,-0.0014416012,0,0,0,0,0,0,0,0,0,0
1777225939161000,-0.0015070247,0,0,0,0,0,0,0,0,0,0
1777225939173000,-0.0015070247,0,0,0,0,0,0,0,0,0,0
1777225939677000,-0.0011748268,0,0,0,0,0,0,0,0,0,0
1777225940181000,-0.00045727543,0,0,0,0,0,0,0,0,0,0
1777225940685000,-0.0006250256,0,0,0,0,0,0,0,0,0,0
1777225941189000,-0.00039023702,0,0,0,0,0,0,0,0,0,0
1777225941697000,0.00010226856,0,0,0,0,0,0,0,0,0,0
1777225942201000,-0.0014514677,0,0,0,0,0,0,0,0,0,0
1777225942705000,-0.005893907,0,0,0,0,0,0,0,0,0,0
1777225943209000,-0.0060452675,0,0,0,0,0,0,0,0,0,0
1777225943713000,-0.007515872,0,0,0,0,0,0,0,0,0,0
1777225944217000,-0.009752938,0,0,0,0,0,0,0,0,0,0
1777225944721000,-0.010481262,0,0,0,0,0,0,0,0,0,0
1777225945225000,-0.010848358,0,0,0,0,0,0,0,0,0,0
1777225945729000,-0.011063592,0,0,0,0,0,0,0,0,0,0
1777225946233000,-0.011253158,0,0,0,0,0,0,0,0,0,0
1777225946737000,-0.011336036,0,0,0,0,0,0,0,0,0,0
1777225947241000,-0.010796318,0,0,0,0,0,0,0,0,0,0
1777225947745000,-0.011276391,0,0,0,0,0,0,0,0,0,0
1777225948249000,-0.011227836,0,0,0,0,0,0,0,0,0,0
1777225948753000,-0.012044581,0,0,0,0,0,0,0,0,0,0
1777225949261000,-0.012599463,0,0,0,0,0,0,0,0,0,0
1777225949765000,-0.013481482,0,0,0,0,0,0,0,0,0,0
1777225950269000,-0.018974,0,0,0,0,0,0,0,0,0,0
1777225950425000,-0.019323383,0,0,0,0,0,0,0,0,0,0
1777225950929000,-0.026966652,0,0,0,0,0,0,0,0,0,0
1777225951013000,-0.028001245,0,0,0,0,0,0,0,0,0,0
1777225951517000,-0.028568529,0,0,0,0,0,0,0,0,0,0
1777225952021000,-0.02649602,0,0,0,0,0,0,0,0,0,0
1777225952525000,-0.024210244,0,0,0,0,0,0,0,0,0,0
1777225953029000,-0.022328231,0,0,0,0,0,0,0,0,0,0
1777225953533000,-0.020209279,0,0,0,0,0,0,0,0,0,0
1777225953641000,-0.019779643,0,0,0,0,0,0,0,0,0,0
1777225954145000,-0.01838473,0,0,0,0,0,0,0,0,0,0
1777225954649000,-0.017019978,0,0,0,0,0,0,0,0,0,0
1777225955033000,-0.014955509,0,0,0,0,0,0,0,0,0,0
1777225955141000,-0.014869291,0,0,0,0,0,0,0,0,0,0
1777225955153000,-0.014869291,0,0,0,0,0,0,0,0,0,0
1777225955417000,-0.017519569,0,0,0,0,0,0,0,0,0,0
1777225955921000,-0.0239097,0,0,0,0,0,0,0,0,0,0
1777225956421000,-0.031265765,0,0,0,0,0,0,0,0,0,0
1777225956925000,-0.03127434,0,0,0,0,0,0,0,0,0,0
1777225957429000,-0.02874327,0,0,0,0,0,0,0,0,0,0
1777225957933000,-0.026593931,0,0,0,0,0,0,0,0,0,0
1777225958437000,-0.025171112,0,0,0,0,0,0,0,0,0,0
1777225958941000,-0.023958743,0,0,0,0,0,0,0,0,0,0
1777225959445000,-0.023441657,0,0,0,0,0,0,0,0,0,0
1777225959949000,-0.022021858,0,0,0,0,0,0,0,0,0,0
1777225960453000,-0.020458816,0,0,0,0,0,0,0,0,0,0
1777225960957000,-0.018434474,0,0,0,0,0,0,0,0,0,0
1777225961461000,-0.017050013,0,0,0,0,0,0,0,0,0,0
1777225961965000,-0.015534318,0,0,0,0,0,0,0,0,0,0
1777225962473000,-0.01444677,0,0,0,0,0,0,0,0,0,0
1777225962981000,-0.014254779,0,0,0,0,0,0,0,0,0,0
1777225963485000,-0.013780248,0,0,0,0,0,0,0,0,0,0
1777225963989000,-0.013773954,0,0,0,0,0,0,0,0,0,0
1777225964493000,-0.012451807,0,0,0,0,0,0,0,0,0,0
1777225964997000,-0.011231676,0,0,0,0,0,0,0,0,0,0
1777225965501000,-0.010556205,0,0,0,0,0,0,0,0,0,0
1777225966005000,-0.009432146,0,0,0,0,0,0,0,0,0,0
1777225966509000,-0.009581417,0,0,0,0,0,0,0,0,0,0
1777225967013000,-0.009394212,0,0,0,0,0,0,0,0,0,0
1777225967517000,-0.008345856,0,0,0,0,0,0,0,0,0,0
1777225968021000,-0.0075049903,0,0,0,0,0,0,0,0,0,0
1777225968525000,-0.0071614943,0,0,0,0,0,0,0,0,0,0
1777225969029000,-0.006562733,0,0,0,0,0,0,0,0,0,0
1777225969533000,-0.0065079248,0,0,0,0,0,0,0,0,0,0
1777225970037000,-0.005939622,0,0,0,0,0,0,0,0,0,0
1777225970541000,-0.0059470823,0,0,0,0,0,0,0,0,0,0
1777225971045000,-0.005894392,0,0,0,0,0,0,0,0,0,0
1777225971549000,-0.0052067577,0,0,0,0,0,0,0,0,0,0
1777225972057000,-0.0044201016,0,0,0,0,0,0,0,0,0,0
1777225972561000,-0.0045241015,0,0,0,0,0,0,0,0,0,0
1777225973065000,-0.0044826437,0,0,0,0,0,0,0,0,0,0
1777225973569000,-0.0035466126,0,0,0,0,0,0,0,0,0,0
1777225973629000,-0.0035466126,0,0,0,0,0,0,0,0,0,0
1777225974133000,-0.0033188388,0,0,0,0,0,0,0,0,0,0
1777225974637000,-0.0030957097,0,0,0,0,0,0,0,0,0,0
1777225975141000,-0.0033466688,0,0,0,0,0,0,0,0,0,0
