timestamp,geofence_violation_reason,primary_geofence_breached,primary_geofence_action,home_required
1777318633583000,0,0,2,0
1777318633831000,0,0,2,0
1777318634087000,0,0,2,0
1777318634335000,0,0,2,0
1777318634559000,0,0,2,0
1777318634775000,0,0,2,0
1777318635007000,0,0,2,0
1777318635263000,0,0,2,0
1777318635515000,0,0,2,0
1777318635767000,0,0,2,0
1777318636015000,0,0,2,0
1777318636271000,0,0,2,0
1777318636519000,0,0,2,0
1777318636775000,0,0,2,0
1777318637023000,0,0,2,0
1777318637279000,0,0,2,0
1777318637527000,0,0,2,0
1777318637783000,0,0,2,0
1777318638031000,0,0,2,0
1777318638287000,0,0,2,0
1777318638535000,0,0,2,0
1777318638791000,0,0,2,0
1777318639039000,0,0,2,0
1777318639295000,0,0,2,0
1777318639543000,0,0,2,0
1777318639799000,0,0,2,0
1777318640047000,0,0,2,0
1777318640303000,0,0,2,0
1777318640551000,0,0,2,0
1777318640807000,0,0,2,0
1777318641055000,0,0,2,0
1777318641315000,0,0,2,0
1777318641559000,0,0,2,0
1777318641815000,0,0,2,0
1777318642063000,0,0,2,0
1777318642323000,0,0,2,0
1777318642571000,0,0,2,0
1777318642823000,0,0,2,0
1777318643071000,0,0,2,0
1777318643327000,0,0,2,0
1777318643575000,0,0,2,0
1777318643831000,0,0,2,0
1777318644079000,0,0,2,0
1777318644335000,0,0,2,0
1777318644583000,0,0,2,0
1777318644839000,0,0,2,0
1777318645087000,0,0,2,0
1777318645343000,0,0,2,0
1777318645591000,0,0,2,0
1777318645851000,0,0,2,0
1777318646095000,0,0,2,0
1777318646351000,0,0,2,0
1777318646599000,0,0,2,0
1777318646855000,0,0,2,0
1777318647107000,0,0,2,0
1777318647359000,0,0,2,0
1777318647607000,0,0,2,0
1777318647863000,0,0,2,0
1777318648111000,0,0,2,0
1777318648367000,0,0,2,0
1777318648615000,0,0,2,0
1777318648871000,0,0,2,0
1777318649103000,0,0,2,0
1777318649359000,0,0,2,0
1777318649575000,0,0,2,0
1777318649823000,0,0,2,0
1777318650027000,0,0,2,0
1777318650231000,0,0,2,0
1777318650479000,0,0,2,0
1777318650687000,0,0,2,0
1777318650935000,0,0,2,0
1777318651191000,0,0,2,0
1777318651439000,0,0,2,0
1777318651695000,0,0,2,0
1777318651943000,0,0,2,0
1777318652199000,0,0,2,0
1777318652451000,0,0,2,0
1777318652703000,0,0,2,0
1777318652951000,0,0,2,0
1777318653207000,0,0,2,0
1777318653455000,0,0,2,0
1777318653711000,0,0,2,0
1777318653959000,0,0,2,0
1777318654175000,0,0,2,0
1777318654431000,0,0,2,0
1777318654679000,0,0,2,0
1777318654927000,0,0,2,0
1777318655135000,0,0,2,0
1777318655383000,0,0,2,0
1777318655639000,0,0,2,0
1777318655887000,0,0,2,0
1777318656095000,0,0,2,0
1777318656343000,0,0,2,0
1777318656591000,0,0,2,0
1777318656847000,0,0,2,0
1777318657055000,0,0,2,0
1777318657303000,0,0,2,0
1777318657551000,0,0,2,0
1777318657799000,0,0,2,0
1777318658007000,0,0,2,0
1777318658263000,0,0,2,0
1777318658511000,0,0,2,0
1777318658759000,0,0,2,0
1777318659011000,0,0,2,0
1777318659215000,0,0,2,0
1777318659471000,0,0,2,0
1777318659719000,0,0,2,0
1777318659967000,0,0,2,0
1777318660175000,0,0,2,0
1777318660423000,0,0,2,0
1777318660679000,0,0,2,0
1777318660927000,0,0,2,0
1777318661135000,0,0,2,0
1777318661383000,0,0,2,0
1777318661631000,0,0,2,0
1777318661891000,0,0,2,0
1777318662095000,0,0,2,0
1777318662343000,0,0,2,0
1777318662591000,0,0,2,0
1777318662839000,0,0,2,0
1777318663047000,0,0,2,0
1777318663303000,0,0,2,0
1777318663551000,0,0,2,0
1777318663799000,0,0,2,0
1777318664051000,0,0,2,0
1777318664255000,0,0,2,0
1777318664511000,0,0,2,0
1777318664759000,0,0,2,0
1777318665007000,0,0,2,0
1777318665215000,0,0,2,0
1777318665463000,0,0,2,0
1777318665719000,0,0,2,0
1777318665967000,0,0,2,0
1777318666175000,0,0,2,0
1777318666423000,0,0,2,0
1777318666671000,0,0,2,0
1777318666927000,0,0,2,0
1777318667135000,0,0,2,0
1777318667383000,0,0,2,0
1777318667631000,0,0,2,0
1777318667883000,0,0,2,0
1777318668087000,0,0,2,0
1777318668343000,0,0,2,0
1777318668591000,0,0,2,0
1777318668839000,0,0,2,0
1777318669087000,0,0,2,0
1777318669295000,0,0,2,0
1777318669551000,0,0,2,0
1777318669799000,0,0,2,0
1777318670051000,0,0,2,0
1777318670255000,0,0,2,0
1777318670503000,0,0,2,0
1777318670759000,0,0,2,0
1777318671007000,0,0,2,0
1777318671215000,0,0,2,0
1777318671463000,0,0,2,0
1777318671711000,0,0,2,0
1777318671967000,0,0,2,0
1777318672175000,0,0,2,0
1777318672427000,0,0,2,0
1777318672671000,0,0,2,0
1777318672919000,0,0,2,0
1777318673127000,0,0,2,0
1777318673383000,2,1,2,0
1777318673595000,2,1,2,0
1777318673839000,2,1,2,0
1777318674095000,2,1,2,0
1777318674343000,2,1,2,0
1777318674555000,2,1,2,0
1777318674799000,2,1,2,0
1777318675047000,2,1,2,0
1777318675303000,2,1,2,0
