timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777225942469000,1777225942469000,0.5364616,0.53361744,0.5345,0.53532904,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225942569000,1777225942569000,0.5348405,0.53512025,0.5378874,0.53179455,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225942669000,1777225942669000,0.5259008,0.534119,0.52821016,0.5314867,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225942769000,1777225942769000,0.5305136,0.53214043,0.5327948,0.53145593,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225942869000,1777225942869000,0.524398,0.52953887,0.5225895,0.5302682,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225942969000,1777225942969000,0.5252947,0.53442097,0.5251184,0.53328705,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943069000,1777225943069000,0.5262324,0.52254385,0.52721006,0.5219744,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943169000,1777225943169000,0.5293396,0.5276552,0.52686155,0.5295844,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943269000,1777225943269000,0.5288733,0.5184433,0.5272404,0.5189739,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943369000,1777225943369000,0.52943754,0.52561426,0.52874947,0.5259466,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943469000,1777225943469000,0.5235283,0.519868,0.5206251,0.5235109,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943569000,1777225943569000,0.5253727,0.52780443,0.5247266,0.5272274,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943669000,1777225943669000,0.5115263,0.50891244,0.5115005,0.5083578,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943769000,1777225943769000,0.49695924,0.49892217,0.49556828,0.50269264,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943869000,1777225943869000,0.4916049,0.4967341,0.49280667,0.49681753,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225943969000,1777225943969000,0.49709243,0.5010103,0.5020661,0.49608842,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944069000,1777225944069000,0.4962555,0.4928753,0.49347353,0.4949563,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944169000,1777225944169000,0.5018094,0.49596232,0.49918443,0.49778345,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944269000,1777225944269000,0.49707296,0.49041873,0.49827203,0.49037105,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944369000,1777225944369000,0.4959376,0.5006539,0.49504396,0.5021272,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944469000,1777225944469000,0.49446973,0.49260798,0.49411544,0.49196783,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944569000,1777225944569000,0.4986723,0.49539527,0.50118476,0.49349666,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944669000,1777225944669000,0.49342734,0.49130765,0.490769,0.49424905,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944765000,1777225944765000,0.49672672,0.49792883,0.49518132,0.49878997,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944869000,1777225944869000,0.49144244,0.492995,0.491353,0.49314243,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225944969000,1777225944969000,0.49775544,0.4949528,0.49906513,0.49416804,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945069000,1777225945069000,0.49258658,0.48968494,0.4926129,0.4904562,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945169000,1777225945169000,0.4972751,0.49539205,0.49601552,0.49596673,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945269000,1777225945269000,0.49161986,0.48985362,0.49079826,0.49061126,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945365000,1777225945365000,0.4947554,0.49557957,0.49208292,0.49914294,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945469000,1777225945469000,0.48943493,0.49175167,0.49057475,0.4884478,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945569000,1777225945569000,0.4964811,0.49291566,0.4955038,0.4936947,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945669000,1777225945669000,0.49324402,0.4863411,0.49340993,0.48687446,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945769000,1777225945769000,0.49722975,0.49122,0.49536112,0.49415722,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945869000,1777225945869000,0.4883436,0.49081588,0.49007955,0.4897687,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225945969000,1777225945969000,0.49370927,0.49575305,0.4949238,0.49460945,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946069000,1777225946069000,0.49099526,0.48894507,0.4913656,0.48857537,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946169000,1777225946169000,0.4958588,0.4941087,0.49223977,0.4957917,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946269000,1777225946269000,0.4928651,0.48688945,0.4902823,0.48894277,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946369000,1777225946369000,0.49148753,0.49703756,0.492481,0.49622685,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946469000,1777225946469000,0.48740575,0.49103567,0.48749042,0.49133736,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946569000,1777225946569000,0.49342677,0.49449298,0.4942931,0.49495298,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946669000,1777225946669000,0.4915125,0.4867091,0.49043852,0.48868716,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946769000,1777225946769000,0.4963725,0.49096516,0.4934778,0.49464163,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946869000,1777225946869000,0.48696104,0.49068284,0.48724362,0.4913571,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225946969000,1777225946969000,0.4946869,0.49169436,0.4959721,0.4925705,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947069000,1777225947069000,0.4904958,0.486804,0.49004436,0.48853564,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947169000,1777225947169000,0.49880195,0.48893216,0.4954897,0.4914788,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947269000,1777225947269000,0.48895535,0.4905369,0.48492408,0.49082202,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947369000,1777225947369000,0.4986743,0.4885191,0.4989486,0.4874566,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947469000,1777225947469000,0.49136457,0.48653716,0.48899078,0.4875637,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947569000,1777225947569000,0.4937699,0.4929979,0.49559352,0.49092612,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947669000,1777225947669000,0.48895273,0.4870295,0.48652485,0.49116606,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947769000,1777225947769000,0.48622897,0.49897915,0.49324092,0.49489337,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947869000,1777225947869000,0.4856948,0.48988795,0.4861027,0.49152872,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225947969000,1777225947969000,0.49097204,0.49536675,0.4932825,0.49285746,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948069000,1777225948069000,0.49163288,0.48639882,0.48893377,0.4873123,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948169000,1777225948169000,0.49095306,0.49528867,0.4911601,0.49460962,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948265000,1777225948265000,0.48492444,0.49136764,0.48494437,0.49231783,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948369000,1777225948369000,0.49362332,0.49236724,0.49351642,0.49336588,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948469000,1777225948469000,0.49023485,0.48679334,0.48609862,0.4897488,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948569000,1777225948569000,0.4939957,0.4926765,0.4922261,0.4938209,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948669000,1777225948669000,0.4917885,0.48559088,0.49301744,0.48242682,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948769000,1777225948769000,0.49258947,0.49347785,0.49000138,0.4959866,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948869000,1777225948869000,0.4829005,0.49288124,0.48870298,0.48980972,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225948969000,1777225948969000,0.48990372,0.4961989,0.49145707,0.49485672,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949069000,1777225949069000,0.48833728,0.48756582,0.48977524,0.4860469,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949169000,1777225949169000,0.48941278,0.49610898,0.48887387,0.4974419,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949265000,1777225949265000,0.49225932,0.48848775,0.49113613,0.48973522,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949369000,1777225949369000,0.4929353,0.49284002,0.49460703,0.49093017,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949469000,1777225949469000,0.48752967,0.48925522,0.4876738,0.48771587,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949569000,1777225949569000,0.49135715,0.49343517,0.49376172,0.49124262,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949669000,1777225949669000,0.48916578,0.48581338,0.48892283,0.48598015,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949769000,1777225949769000,0.4893273,0.49594262,0.49269903,0.49177775,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949869000,1777225949869000,0.4868767,0.48848513,0.48519865,0.48946556,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225949969000,1777225949969000,0.5015942,0.49330747,0.502685,0.49208915,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950069000,1777225950069000,0.51530313,0.5141154,0.50954914,0.51938766,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950169000,1777225950169000,0.53606594,0.54234016,0.54059964,0.53891486,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950269000,1777225950269000,0.5540133,0.5541051,0.5528174,0.5564702,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950369000,1777225950369000,0.54582596,0.54571617,0.55121434,0.54179287,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950469000,1777225950469000,0.5201303,0.5209763,0.51937175,0.5224484,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950569000,1777225950569000,0.5042228,0.50097495,0.50413173,0.5034724,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950669000,1777225950669000,0.481607,0.47903058,0.48246902,0.48000222,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950769000,1777225950769000,0.46354216,0.46076906,0.46544254,0.45959085,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950869000,1777225950869000,0.43482497,0.44867563,0.4370664,0.4447596,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225950969000,1777225950969000,0.42328906,0.42060903,0.42265308,0.41970798,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951069000,1777225951069000,0.42117393,0.42113683,0.42130634,0.42027706,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951169000,1777225951169000,0.43752128,0.42702353,0.4360657,0.42723182,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951269000,1777225951269000,0.4407606,0.43893918,0.43824968,0.4408527,nan,nan,nan,nan,nan,nan,nan,nan,0
