timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
1777318657831000,1777318657747000,6620172,488.05075,0.10814673,0.06304932,12.374718,3.5692992e-05
1777318657927000,1777318657847000,6620172,488.04968,0.10785295,-0.1350708,12.37432,0.00016381705
1777318658127000,1777318658047000,6620172,488.0515,0.107421555,0.13793945,12.373778,0.00017085676
1777318658879000,1777318658797000,6620172,488.0526,0.10692358,0.029083252,12.3733635,7.595487e-06
1777318659327000,1777318659247000,6620172,488.054,0.106101364,0.08578491,12.372455,6.608813e-05
1777318659431000,1777318659347000,6620172,488.05585,0.10600855,0.18148804,12.372357,0.00029580193
1777318659679000,1777318659597000,6620172,488.05746,0.10560026,0.09210205,12.3717985,7.618391e-05
1777318659831000,1777318659747000,6620172,488.06003,0.10632401,0.26467896,12.372507,0.00062912743
1777318659927000,1777318659847000,6620172,488.0614,0.106092975,0.0859375,12.372177,6.632493e-05
1777318660031000,1777318659947000,6620172,488.06244,0.10600041,0.058166504,12.372082,3.0385096e-05
1777318660079000,1777318659997000,6620172,488.06348,0.105889454,0.12069702,12.371924,0.0001308318
1777318660127000,1777318660047000,6620172,488.06595,0.10578043,0.28811646,12.372183,0.00074549933
1777318660279000,1777318660197000,6620172,488.06772,0.10559281,0.097076416,12.3719425,8.463443e-05
1777318660383000,1777318660297000,6620172,488.0692,0.105519615,0.11444092,12.372038,0.000117619384
1777318660431000,1777318660347000,6620172,488.07047,0.10541694,0.14678955,12.371884,0.00019351378
1777318660479000,1777318660397000,6620172,488.0717,0.10531601,0.14077759,12.371734,0.00017798932
1777318660631000,1777318660547000,6620172,488.0728,0.10604946,0.14440918,12.372452,0.00018727996
1777318660783000,1777318660697000,6620172,488.0744,0.106744125,0.13208008,12.373128,0.00015665802
1777318660831000,1777318660747000,6620172,488.0769,0.106620364,0.2895813,12.372952,0.0007530523
1777318660879000,1777318660797000,6620172,488.0781,0.10649873,0.13616943,12.372781,0.00016651349
1777318660983000,1777318660897000,6620172,488.0792,0.106394604,0.109558105,12.372674,0.000107791115
1777318661079000,1777318660997000,6620172,488.08047,0.10616116,0.0947876,12.37234,8.068795e-05
1777318661231000,1777318661147000,6620172,488.0823,0.105956435,0.13217163,12.372084,0.0001568885
1777318661327000,1777318661247000,6620172,488.08502,0.10664346,0.31332397,12.373124,0.0008815874
1777318661383000,1777318661297000,6620172,488.08618,0.10665428,0.13214111,12.372761,0.0001568075
1777318661431000,1777318661347000,6620172,488.0876,0.10653208,0.16333008,12.373006,0.00023956016
1777318661527000,1777318661447000,6620172,488.09055,0.10629397,0.23605347,12.372667,0.00050039723
1777318661631000,1777318661547000,6620172,488.09335,0.106194586,0.22271729,12.372736,0.00044545066
1777318661727000,1777318661647000,6620172,488.095,0.10687748,0.1902771,12.373351,0.00032511962
1777318662031000,1777318661947000,6620172,488.0978,0.1081983,0.2171936,12.374626,0.0004235644
1777318662127000,1777318662047000,6620172,488.09933,0.107902706,0.13937378,12.3742285,0.0001744221
1777318662231000,1777318662147000,6620172,488.10068,0.107747875,0.11608887,12.374065,0.00012101138
1777318662727000,1777318662647000,6620172,488.09955,0.107579194,-0.1272583,12.374033,0.0001454181
1777318663031000,1777318662947000,6620172,488.0977,0.10703708,-0.16549683,12.373548,0.0002459476
1777318663231000,1777318663147000,6620172,488.09665,0.107557334,-0.04397583,12.373998,1.736503e-05
1777318663431000,1777318663347000,6620172,488.095,0.10808068,-0.11248779,12.374456,0.00011361669
1777318663527000,1777318663447000,6620172,488.09338,0.108730555,-0.18215942,12.375041,0.00029792992
1777318663783000,1777318663697000,6620172,488.0918,0.10915475,-0.07449341,12.375444,4.9823288e-05
1777318663879000,1777318663797000,6620172,488.09055,0.10882576,-0.083099365,12.375014,6.200221e-05
1777318664031000,1777318663947000,6620172,488.08954,0.10848421,-0.004058838,12.37504,1.4791571e-07
1777318664127000,1777318664047000,6620172,488.08786,0.10912698,-0.1871643,12.375795,0.00031450708
1777318664231000,1777318664147000,6620172,488.08627,0.10892946,-0.14059448,12.37559,0.00017747129
1777318664327000,1777318664247000,6620172,488.085,0.10956432,-0.144104,12.376154,0.00018643348
1777318664431000,1777318664347000,6620172,488.08368,0.10935144,-0.13064575,12.37593,0.00015323932
1777318664527000,1777318664447000,6620172,488.08197,0.10997877,-0.18981934,12.376487,0.00032347522
1777318664927000,1777318664847000,6620172,488.0805,0.10982426,-0.11941528,12.376126,0.00012802435
1777318665183000,1777318665097000,6620172,488.0794,0.11014506,-0.013092041,12.376403,1.5387843e-06
1777318665231000,1777318665147000,6620172,488.07837,0.109961495,-0.11679077,12.376165,0.00012245835
1777318665431000,1777318665347000,6620172,488.0767,0.10938987,-0.0814209,12.375888,5.951863e-05
1777318665527000,1777318665447000,6620172,488.07547,0.10905268,-0.10626221,12.375611,0.00010137912
1777318665727000,1777318665647000,6620172,488.07306,0.10949388,-0.22589111,12.375975,0.00045811696
1777318666031000,1777318665947000,6620172,488.07086,0.11066207,-0.1611023,12.377086,0.00023299282
1777318666631000,1777318666547000,6620172,488.06866,0.11154794,-0.2059021,12.377722,0.0003805733
1777318666831000,1777318666747000,6620172,488.0672,0.1118312,-0.064208984,12.378343,3.700723e-05
1777318667327000,1777318667247000,6620172,488.06833,0.11202448,0.07952881,12.378438,5.6772835e-05
1777318667583000,1777318667497000,6620172,488.06726,0.11123235,-0.035461426,12.37757,1.12884545e-05
1777318667631000,1777318667547000,6620172,488.0658,0.11102928,-0.16326904,12.377315,0.00023929783
1777318668231000,1777318668147000,6620172,488.06302,0.110946216,-0.23132324,12.37755,0.00048035392
1777318668631000,1777318668547000,6620172,488.0614,0.109710515,-0.11746216,12.37609,0.0001238711
1777318668831000,1777318668747000,6620172,488.06256,0.10915619,0.12799072,12.375431,0.00014708018
1777318668927000,1777318668847000,6620172,488.0615,0.10978698,-0.12005615,12.3759985,0.00012940352
1777318669031000,1777318668947000,6620172,488.06018,0.10956619,-0.15441895,12.375772,0.00021408506
1777318669127000,1777318669047000,6620172,488.05893,0.10922276,-0.11706543,12.375744,0.0001230392
1777318669527000,1777318669447000,6620172,488.0577,0.11003816,-0.12658691,12.376583,0.00014385811
1777318669927000,1777318669847000,6620172,488.0556,0.10891526,-0.16989136,12.375237,0.0002591472
1777318670031000,1777318669947000,6620172,488.05377,0.10968315,-0.2033081,12.376037,0.00037109517
1777318670231000,1777318670147000,6620172,488.05545,0.11006545,0.14083862,12.376343,0.00017807735
1777318670727000,1777318670647000,6620172,488.05673,0.109582216,0.049438477,12.376163,2.1943286e-05
1777318671183000,1777318671097000,6620172,488.05533,0.11033239,-0.050109863,12.376802,2.2542157e-05
1777318671231000,1777318671147000,6620172,488.05377,0.110145494,-0.17260742,12.376564,0.00026747078
1777318671527000,1777318671447000,6620172,488.0563,0.10921779,0.18191528,12.3754225,0.0002971227
1777318671631000,1777318671547000,6620172,488.05762,0.10901704,0.14431763,12.3752165,0.00018700078
1777318672327000,1777318672247000,6620172,488.05524,0.10817495,-0.23928833,12.374571,0.00051412696
1777318672431000,1777318672347000,6620172,488.0565,0.10801067,0.11691284,12.3744,0.00012273199
1777318672631000,1777318672547000,6620172,488.05774,0.10757303,0.06210327,12.3738575,3.46323e-05
1777318672927000,1777318672847000,6620172,488.05905,0.107803464,0.13851929,12.373921,0.00017229418
1777318673431000,1777318673347000,6620172,488.06006,0.10777853,0.12121582,12.374314,0.00013193347
1777318673631000,1777318673547000,6620172,488.06158,0.108290486,0.18676758,12.374754,0.00031320154
1777318674231000,1777318674147000,6620172,488.0596,0.10790921,-0.13522339,12.374086,0.00016419048
1777318674383000,1777318674297000,6620172,488.06067,0.10761738,0.03656006,12.37374,1.200246e-05
1777318674631000,1777318674547000,6620172,488.06177,0.1079759,0.043640137,12.374561,1.7100148e-05
1777318674927000,1777318674847000,6620172,488.05853,0.10909099,-0.285614,12.375523,0.00073240785
1777318675327000,1777318675247000,6620172,488.05725,0.11089762,-0.14199829,12.377196,0.00018100953
