timestamp,time_estimate,safe_time_estimate,valid
1777318619927000,0.0,0.0,0
1777318620935000,0.0,0.0,0
1777318621943000,0.0,0.0,0
1777318622951000,0.0,0.0,0
1777318624007000,0.0,0.0,0
1777318625015000,0.0,0.0,0
1777318626023000,0.0,0.0,0
1777318627031000,0.0,0.0,0
1777318628039000,0.0,0.0,0
1777318629047000,0.0,0.0,0
1777318630055000,0.0,0.0,0
1777318631063000,0.0,0.0,0
1777318632071000,0.0,0.0,0
1777318633079000,0.0,0.0,0
1777318634087000,0.017984634,100.01978,1
1777318635111000,0.031854343,100.03504,1
1777318636119000,0.06429845,100.070724,1
1777318637127000,0.086886846,100.09557,1
1777318638135000,0.100090064,100.1101,1
1777318639143000,0.08892133,100.09782,1
1777318640151000,0.07471171,100.082184,1
1777318641159000,0.06256909,100.068825,1
1777318642167000,0.0732596,100.08059,1
1777318643175000,0.08192129,100.09011,1
1777318644183000,0.07804634,100.08585,1
1777318645191000,0.08184022,100.09003,1
1777318646199000,0.07068804,100.07776,1
1777318647207000,0.05549378,100.06104,1
1777318648215000,0.053233273,100.058556,1
1777318649255000,0.053175475,100.058495,1
1777318650279000,0.0630748,100.06938,1
1777318651287000,0.074455276,100.0819,1
1777318652295000,0.06870508,100.07558,1
1777318653303000,0.074114084,100.08153,1
1777318654327000,0.06732869,100.07406,1
1777318655335000,0.008155119,100.00897,1
1777318656343000,0.0153030865,100.01683,1
1777318657351000,0.015689868,100.01726,1
1777318658359000,0.029198281,100.03212,1
1777318659367000,0.2033157,100.22365,1
1777318660375000,1.4046861,101.54516,1
1777318661383000,2.8663833,103.15302,1
1777318662391000,3.8145022,104.19595,1
1777318663399000,6.569809,107.22679,1
1777318664407000,13.133013,114.44631,1
1777318665415000,39.2402,143.16422,1
1777318666423000,40.133343,144.14668,1
1777318667435000,41.026188,145.12881,1
1777318668439000,41.99318,146.1925,1
1777318669447000,42.99751,147.29726,1
1777318670455000,44.00417,148.40459,1
1777318671463000,45.002857,149.50314,1
1777318672471000,45.994633,150.5941,1
1777318673495000,47.009235,151.71016,1
1777318674503000,47.895695,152.68527,1
