timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1777318619019000,32767,32767,32767,32767,32767,32767
1777318619023000,32767,32767,32767,32767,32767,32767
1777318619027000,32767,32767,32767,32767,32767,32767
1777318619031000,32767,32767,32767,32767,32767,32767
1777318619035000,32767,32767,32767,32767,32767,32767
1777318619039000,32767,32767,32767,32767,32767,32767
1777318619043000,32767,32767,32767,32767,32767,32767
1777318619047000,32767,32767,32767,0,32767,32767
1777318619051000,32767,32767,32767,0,32767,32767
1777318619055000,32767,32767,32767,32767,32767,32767
1777318619059000,32767,32767,32767,32767,32767,32767
1777318619063000,32767,32767,32767,32767,32767,32767
1777318619067000,32767,32767,32767,32767,32767,32767
1777318619071000,32767,32767,32767,32767,32767,32767
1777318619075000,32767,32767,32767,32767,32767,32767
1777318619079000,32767,32767,32767,32767,32767,32767
1777318619083000,32767,32767,32767,32767,32767,32767
1777318619087000,32767,32767,32767,32767,32767,32767
1777318619091000,32767,32767,32767,32767,32767,32767
1777318619095000,32767,32767,32767,32767,32767,32767
1777318619099000,32767,32767,32767,32767,32767,32767
1777318619103000,32767,32767,32767,32767,32767,32767
1777318619107000,32767,32767,32767,32767,32767,32767
1777318619111000,32767,32767,32767,32767,32767,32767
1777318619115000,32767,32767,32767,32767,32767,32767
1777318619119000,32767,32767,32767,32767,0,32767
1777318619123000,32767,32767,32767,32767,32767,32767
1777318619127000,32767,32767,32767,32767,-40,32767
1777318619131000,32767,32767,32767,32767,32767,32767
1777318619135000,32767,32767,32767,32767,32767,32767
1777318619139000,32767,32767,32767,32767,32767,32767
1777318619143000,32767,32767,32767,32767,32767,32767
1777318619147000,32767,32767,32767,0,32767,32767
1777318619151000,32767,32767,32767,32767,32767,32767
1777318619155000,32767,32767,32767,-40,32767,32767
1777318619159000,32767,32767,32767,32767,32767,32767
1777318619163000,32767,32767,32767,32767,32767,32767
1777318619167000,32767,32767,32767,32767,32767,32767
1777318619171000,32767,32767,32767,32767,32767,32767
1777318619175000,32767,32767,32767,32767,32767,32767
1777318619179000,32767,32767,32767,32767,32767,32767
1777318619183000,32767,32767,32767,32767,32767,32767
1777318619187000,32767,32767,32767,32767,32767,32767
1777318619191000,32767,32767,32767,32767,32767,32767
1777318619195000,32767,32767,32767,32767,32767,32767
1777318619199000,32767,32767,32767,32767,32767,32767
1777318619203000,32767,32767,32767,32767,32767,32767
1777318619207000,32767,32767,32767,32767,32767,32767
1777318619211000,32767,32767,32767,32767,32767,32767
1777318619215000,32767,32767,32767,32767,32767,32767
1777318619219000,32767,32767,32767,32767,32767,32767
1777318619223000,32767,32767,32767,32767,32767,32767
1777318619227000,32767,32767,32767,32767,32767,32767
1777318619231000,32767,32767,32767,32767,32767,32767
1777318619235000,32767,32767,32767,32767,32767,32767
1777318619239000,32767,32767,32767,32767,32767,32767
1777318619243000,32767,32767,32767,32767,32767,32767
1777318619247000,32767,32767,32767,0,32767,32767
1777318619251000,32767,32767,32767,32767,32767,32767
1777318619255000,32767,32767,32767,-40,0,32767
1777318619259000,32767,32767,32767,32767,32767,32767
1777318619263000,32767,32767,32767,32767,-40,32767
1777318619267000,32767,32767,32767,32767,32767,32767
1777318619271000,32767,32767,32767,32767,32767,32767
1777318619275000,32767,32767,32767,32767,32767,32767
1777318619279000,32767,32767,32767,32767,32767,32767
1777318619283000,32767,32767,32767,32767,32767,32767
1777318619287000,32767,32767,32767,32767,32767,32767
1777318619291000,32767,32767,32767,32767,32767,32767
1777318619295000,32767,32767,32767,32767,32767,32767
1777318619299000,32767,32767,32767,32767,32767,32767
1777318619303000,32767,32767,32767,32767,32767,32767
1777318619307000,32767,32767,32767,32767,32767,32767
