timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
1777318619455000,1777318619455000,0,nan,nan,-0.008634263,0.00067854684,-0.011194242,-9.408454e-09,-1.1454046e-08,0.0,-0.035588145,0.002831063,-0.043758217,-0.038774498,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.06882262,-0.012302375,-0.097367905,0.03836929,0.0,nan,0.11762522,0.500394,5.7735043,0.08367552,0.014306218,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619959000,1777318619959000,0,nan,nan,-0.005123441,0.00045571852,0.028080257,-9.408454e-09,-1.1454046e-08,0.0,-0.003152791,0.0006150222,-0.017034117,0.022139924,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.0022384701,-0.008180542,-0.028993001,0.019375715,-0.0120787565,nan,0.09006116,0.023812942,1.2099663,0.16047558,0.03249239,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318620455000,1777318620455000,0,nan,nan,0.0015225594,-0.0011232661,0.024871932,-9.408454e-09,-1.1454046e-08,0.0,2.8074013e-05,-0.005797112,-0.012291862,0.007938171,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.00078839,-0.0022666499,-0.042247582,0.0143219195,-0.0120787565,nan,0.09334154,0.0155329965,0.8168975,0.10889905,0.0629095,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318620959000,1777318620959000,0,nan,nan,0.0016230779,-0.00022701481,0.010887181,-9.408454e-09,-1.1454046e-08,0.0,0.0045549176,0.0042212238,-0.012841003,-0.008389088,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.06190836,-0.0044207186,-0.0152532,0.013242731,-0.0120787565,nan,0.09123734,0.023327116,0.68285936,0.118071996,0.08399601,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318621455000,1777318621455000,0,nan,nan,0.0039240457,0.0025240518,0.0010365937,-9.408454e-09,-1.1454046e-08,0.0,0.009802564,0.0075384034,-0.010229729,-0.0109801935,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.046839453,0.015231434,0.009879469,0.015852392,-0.0120787565,nan,0.09940107,0.01252168,0.60023594,0.058025725,0.09434686,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318621959000,1777318621959000,0,nan,nan,0.0048523806,0.0010342537,-0.0008405831,-9.408454e-09,-1.1454046e-08,0.0,0.009613261,0.0010372219,-0.00414027,-0.0024015023,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.02786339,0.0011109496,0.015261582,0.011079075,-0.0120787565,nan,0.103847764,0.01568119,0.53017807,0.058219206,0.08873949,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318622455000,1777318622455000,0,nan,nan,0.003946342,-0.00089353696,0.007219272,-9.408454e-09,-1.1454046e-08,0.0,0.0080094645,-0.004707347,-0.0017776791,0.006721569,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.042626016,-0.0033904652,0.05088001,0.008160818,-0.0120787565,nan,0.09844288,0.018729333,0.48192996,0.059573825,0.0894001,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318622959000,1777318622959000,0,nan,nan,0.0029416704,-0.0036872579,0.0032040265,-9.408454e-09,-1.1454046e-08,0.0,0.008378365,-0.010317878,0.0014765193,0.0032009925,-2.3521134e-06,-2.8635113e-06,0.00042909384,0.0825789,0.020083325,0.016522592,0.011029082,-0.0120787565,nan,0.09363264,0.012949517,0.44504637,0.04423131,0.08145773,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318623455000,1777318623455000,0,nan,nan,0.0031386504,-0.0025469481,-0.003727526,-9.408454e-09,-1.1454046e-08,0.0,0.008935581,-0.0026350303,-0.0013409718,-0.005650302,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.0043678097,0.013074151,-0.02507679,0.012476657,-0.0120787565,nan,0.09827604,0.015574041,0.42048475,0.04790896,0.081038095,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
1777318623959000,1777318623959000,0,nan,nan,0.0022408084,0.0008886998,-0.005917847,-9.408454e-09,-1.1454046e-08,0.0,0.00682823,0.004247442,-0.0033589422,-0.0059696226,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.03322513,-0.027683608,0.0027371568,0.013182971,-0.0120787565,nan,0.099983506,0.011456239,0.4010979,0.038540844,0.08087173,inf,inf,inf,inf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
