timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1777225937753000,1777225937595000,0.001799737,7.6706405e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225937801000,1777225937647000,0.0012114261,2.4400484e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225937857000,1777225937699000,0.00019219468,7.6434415e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225937905000,1777225937751000,0.00019119526,7.603695e-05,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225937961000,1777225937803000,0.0013252276,0.0016747628,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938009000,1777225937855000,0.0020836042,0.0007657854,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938065000,1777225937907000,0.00057080836,0.00056343904,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938113000,1777225937959000,0.0005678401,0.00023905147,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938169000,1777225938011000,0.0010573096,0.00025962817,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938217000,1777225938063000,0.0016721421,0.0007396467,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938273000,1777225938115000,0.0029708194,0.00043672827,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938321000,1777225938167000,0.002493221,0.00036510336,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938377000,1777225938219000,0.0021855936,0.0011627654,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938425000,1777225938271000,0.0034671915,0.0010590628,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938481000,1777225938323000,0.0024516222,0.0008521396,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938529000,1777225938375000,0.0010992388,0.0011467807,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938585000,1777225938427000,0.0034658986,0.00094245316,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938633000,1777225938479000,0.0024164347,0.0008368443,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938689000,1777225938531000,0.00052555767,0.0020318336,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938737000,1777225938583000,0.00030885756,0.002021268,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938793000,1777225938635000,0.002071167,0.0021114654,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938841000,1777225938687000,0.0009669058,0.0018014136,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938897000,1777225938739000,0.0022746073,0.0005927053,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225938945000,1777225938791000,0.0009502682,0.0006127694,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225939001000,1777225938843000,0.0020393617,0.000609583,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225939049000,1777225938895000,0.0010342445,0.00069363567,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225939105000,1777225938947000,0.0010244054,0.0002902484,0.0,1,0,0,0,0,0,0,0,0,0,0,0
