timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
1777318621327000,1777318621246950,1777318621247000,0,-0.08929443,12.25,0.09082376,12.631375,2.6122114e-05,0,1,0,1
1777318621431000,1777318621346956,1777318621351000,0,0.10321045,12.25,-0.10557854,12.620914,3.5328118e-05,0,1,0,1
1777318621479000,1777318621396961,1777318621399000,0,0.042175293,12.25,-0.0420361,12.610566,5.6049307e-06,0,1,0,1
1777318621527000,1777318621446961,1777318621447000,0,-0.1737976,12.25,0.17610875,12.600043,9.8457735e-05,0,1,0,1
1777318621583000,1777318621496966,1777318621503000,0,-0.047027588,12.25,0.04387168,12.590923,6.1146407e-06,0,1,0,1
1777318621631000,1777318621546966,1777318621551000,0,0.018676758,12.25,-0.023526676,12.582251,1.7596359e-06,0,1,0,1
1777318621679000,1777318621596970,1777318621599000,0,-0.028259277,12.25,0.023514597,12.574073,1.7589729e-06,0,1,0,1
1777318621727000,1777318621646970,1777318621647000,0,0.12667847,12.25,-0.13106295,12.565422,5.46818e-05,0,1,0,1
1777318621783000,1777318621696973,1777318621703000,0,-9.1552734e-05,12.25,-0.0014924048,12.558149,7.094269e-09,0,1,0,1
1777318621831000,1777318621746973,1777318621751000,0,0.09851074,12.25,-0.10046349,12.551181,3.216562e-05,0,1,0,1
1777318621879000,1777318621796976,1777318621799000,0,-0.028259277,12.25,0.028330147,12.544583,2.5591835e-06,0,1,0,1
1777318621927000,1777318621846977,1777318621847000,0,0.13137817,12.25,-0.13117091,12.537293,5.489481e-05,0,1,0,1
1777318621983000,1777318621896979,1777318621903000,0,0.014007568,12.25,-0.011155358,12.531386,3.97217e-07,0,1,0,1
1777318622031000,1777318621946980,1777318621951000,0,0.18301392,12.25,-0.18021473,12.525687,0.00010371439,0,1,0,1
1777318622079000,1777318621996982,1777318621999000,0,0.0046081543,12.25,0.0018930449,12.520275,1.1449011e-08,0,1,0,1
1777318622127000,1777318622046982,1777318622047000,0,0.056243896,12.25,-0.049173556,12.514005,7.729064e-06,0,1,0,1
1777318622183000,1777318622096984,1777318622103000,0,0.037475586,12.25,-0.029632628,12.509137,2.807844e-06,0,1,0,1
1777318622231000,1777318622146984,1777318622151000,0,0.009307861,12.25,-0.0010397052,12.504409,3.4579386e-09,0,1,0,1
1777318622279000,1777318622196986,1777318622199000,0,0.018676758,12.25,-0.0105667645,12.4999075,3.573035e-07,0,1,0,1
1777318622327000,1777318622246986,1777318622247000,0,-0.08459473,12.25,0.09343331,12.494423,2.7947779e-05,0,1,0,1
1777318622383000,1777318622296988,1777318622303000,0,-0.009490967,12.25,0.016275391,12.490363,8.4829674e-07,0,1,0,1
1777318622431000,1777318622346988,1777318622351000,0,-0.018859863,12.25,0.025111325,12.486393,2.0200507e-06,0,1,0,1
1777318622479000,1777318622396989,1777318622399000,0,0.009307861,12.25,-0.0037668743,12.482607,4.546916e-08,0,1,0,1
1777318622527000,1777318622446989,1777318622447000,0,-0.11276245,12.25,0.11814724,12.478997,4.474324e-05,0,1,0,1
1777318622583000,1777318622496991,1777318622503000,0,-0.028259277,12.25,0.03203921,12.474323,3.2915964e-06,0,1,0,1
1777318622631000,1777318622546991,1777318622551000,0,-0.11746216,12.25,0.12051571,12.470956,4.658516e-05,0,1,0,1
1777318622679000,1777318622596992,1777318622599000,0,-0.014160156,12.25,0.014962041,12.467741,7.1821404e-07,0,1,0,1
1777318622727000,1777318622646992,1777318622647000,0,0.023376465,12.25,-0.022907946,12.464672,1.6840364e-06,0,1,0,1
1777318622783000,1777318622696993,1777318622703000,0,0.028076172,12.25,-0.027026474,12.460471,2.344792e-06,0,1,0,1
1777318622831000,1777318622746993,1777318622751000,0,-0.0423584,12.25,0.043791156,12.457592,6.157419e-06,0,1,0,1
1777318622879000,1777318622796994,1777318622799000,0,-0.07519531,12.25,0.07582695,12.45484,1.8465837e-05,0,1,0,1
