timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
1777318618899000,-0.0023426237,0,0,0,0,0,0,0,0,0
1777318619403000,-0.0020248832,0,0,0,0,0,0,0,0,0
1777318619823000,-0.0020678819,0,0,0,0,0,0,0,0,0
1777318620327000,-0.002193556,0,0,0,0,0,0,0,0,0
1777318620831000,-0.0027738158,0,0,0,0,0,0,0,0,0
1777318621335000,-0.0027007735,0,0,0,0,0,0,0,0,0
1777318621839000,-0.0022080792,0,0,0,0,0,0,0,0,0
1777318622343000,-0.00225235,0,0,0,0,0,0,0,0,0
1777318622847000,-0.002422514,0,0,0,0,0,0,0,0,0
1777318623351000,-0.001958315,0,0,0,0,0,0,0,0,0
1777318623855000,-0.0025152185,0,0,0,0,0,0,0,0,0
1777318624359000,-0.0020287829,0,0,0,0,0,0,0,0,0
1777318624863000,-0.0024126798,0,0,0,0,0,0,0,0,0
1777318625367000,-0.0019688958,0,0,0,0,0,0,0,0,0
1777318625871000,-0.0021126524,0,0,0,0,0,0,0,0,0
1777318626375000,-0.002680646,0,0,0,0,0,0,0,0,0
1777318626879000,-0.0017607843,0,0,0,0,0,0,0,0,0
1777318627383000,-0.0016518618,0,0,0,0,0,0,0,0,0
1777318627887000,-0.0011663114,0,0,0,0,0,0,0,0,0
1777318628391000,-0.0012840099,0,0,0,0,0,0,0,0,0
1777318628895000,-0.0013577195,0,0,0,0,0,0,0,0,0
1777318629399000,-0.0017397702,0,0,0,0,0,0,0,0,0
1777318629903000,-0.0016255016,0,0,0,0,0,0,0,0,0
1777318630407000,-0.0014299566,0,0,0,0,0,0,0,0,0
1777318630911000,-0.0014441242,0,0,0,0,0,0,0,0,0
1777318631415000,-0.0019414027,0,0,0,0,0,0,0,0,0
1777318631919000,-0.0017964964,0,0,0,0,0,0,0,0,0
1777318632423000,-0.0021999334,0,0,0,0,0,0,0,0,0
1777318632927000,-0.0017883495,0,0,0,0,0,0,0,0,0
1777318633431000,-0.0014280089,0,0,0,0,0,0,0,0,0
1777318633935000,-0.0012232506,0,0,0,0,0,0,0,0,0
1777318634403000,-0.0012405282,0,0,0,0,0,0,0,0,0
1777318634907000,-0.0011994916,0,0,0,0,0,0,0,0,0
1777318635411000,-0.0010439889,0,0,0,0,0,0,0,0,0
1777318635915000,-0.0016983788,0,0,0,0,0,0,0,0,0
1777318636419000,-0.0018143319,0,0,0,0,0,0,0,0,0
1777318636923000,-0.00141638,0,0,0,0,0,0,0,0,0
1777318637427000,-0.0020978316,0,0,0,0,0,0,0,0,0
1777318637931000,-0.002001824,0,0,0,0,0,0,0,0,0
1777318638435000,-0.0022733312,0,0,0,0,0,0,0,0,0
1777318638939000,-0.0026086308,0,0,0,0,0,0,0,0,0
1777318639443000,-0.0028624763,0,0,0,0,0,0,0,0,0
1777318639947000,-0.00255965,0,0,0,0,0,0,0,0,0
1777318640451000,-0.0022439363,0,0,0,0,0,0,0,0,0
1777318640955000,-0.0021734948,0,0,0,0,0,0,0,0,0
1777318641459000,-0.0019135819,0,0,0,0,0,0,0,0,0
1777318641963000,-0.0021276004,0,0,0,0,0,0,0,0,0
1777318642467000,-0.002480631,0,0,0,0,0,0,0,0,0
1777318642971000,-0.0030077223,0,0,0,0,0,0,0,0,0
1777318643475000,-0.0029658815,0,0,0,0,0,0,0,0,0
1777318643979000,-0.002677982,0,0,0,0,0,0,0,0,0
1777318644483000,-0.002041403,0,0,0,0,0,0,0,0,0
1777318644987000,-0.0021033299,0,0,0,0,0,0,0,0,0
1777318645491000,-0.0016449585,0,0,0,0,0,0,0,0,0
1777318645995000,-0.001474074,0,0,0,0,0,0,0,0,0
1777318646499000,-0.000748369,0,0,0,0,0,0,0,0,0
1777318647003000,-0.0005126553,0,0,0,0,0,0,0,0,0
1777318647507000,-0.0003098077,0,0,0,0,0,0,0,0,0
1777318648011000,-0.0011444453,0,0,0,0,0,0,0,0,0
1777318648515000,-0.0010743081,0,0,0,0,0,0,0,0,0
1777318649019000,-0.0011965558,0,0,0,0,0,0,0,0,0
1777318649523000,-0.0011616038,0,0,0,0,0,0,0,0,0
1777318650027000,-0.0013081406,0,0,0,0,0,0,0,0,0
1777318650531000,-0.00085876737,0,0,0,0,0,0,0,0,0
1777318651035000,-0.0010288794,0,0,0,0,0,0,0,0,0
1777318651539000,-0.001428084,0,0,0,0,0,0,0,0,0
1777318652043000,-0.0012170727,0,0,0,0,0,0,0,0,0
1777318652547000,-0.00097117346,0,0,0,0,0,0,0,0,0
1777318653051000,-0.0014848016,0,0,0,0,0,0,0,0,0
1777318653555000,-0.00095116626,0,0,0,0,0,0,0,0,0
1777318653963000,-0.0006231901,0,0,0,0,0,0,0,0,0
1777318653975000,-0.00056766625,0,0,0,0,0,0,0,0,0
1777318654479000,-9.847194e-05,0,0,0,0,0,0,0,0,0
1777318654971000,-4.0104438e-05,0,0,0,0,0,0,0,0,0
1777318654983000,-4.0104438e-05,0,0,0,0,0,0,0,0,0
1777318655487000,-4.267739e-05,0,0,0,0,0,0,0,0,0
1777318655991000,-3.073865e-05,0,0,0,0,0,0,0,0,0
1777318656495000,-0.0007748797,0,0,0,0,0,0,0,0,0
1777318656999000,-0.0007197795,0,0,0,0,0,0,0,0,0
1777318657503000,-0.0004735456,0,0,0,0,0,0,0,0,0
1777318658007000,-0.00070440397,0,0,0,0,0,0,0,0,0
1777318658511000,-0.0006502678,0,0,0,0,0,0,0,0,0
1777318659015000,-0.0026657223,0,0,0,0,0,0,0,0,0
1777318659519000,-0.0072007207,0,0,0,0,0,0,0,0,0
