timestamp,time_estimate,safe_time_estimate,valid
1777225937873000,0.0,0.0,0
1777225939881000,0.0,0.0,0
1777225941897000,0.010742262,100.01182,1
1777225943913000,0.88072175,100.968796,1
1777225945929000,2.717911,102.9897,1
1777225947945000,4.698539,105.168396,1
1777225949969000,6.7254543,107.398,1
1777225952017000,8.800975,109.681076,1
1777225954041000,9.560929,110.51702,1
1777225956073000,9.524129,110.47654,1
1777225958089000,7.540507,108.294556,1
1777225960105000,5.599304,106.15923,1
1777225962121000,4.166158,104.58277,1
1777225964145000,3.1530964,103.46841,1
1777225966161000,2.2409465,102.46504,1
1777225968177000,1.3106486,101.44171,1
1777225970193000,0.37976074,100.41774,1
1777225972209000,0.1621399,100.17835,1
1777225974233000,0.0,0.0,0
1777225976265000,0.0,0.0,0
