timestamp,nav_state,failure
1777225937577000,4,0
1777225938121000,4,0
1777225938625000,4,0
1777225939153000,4,0
1777225939173000,17,0
1777225939677000,17,0
1777225940181000,17,0
1777225940685000,17,0
1777225941189000,17,0
1777225941697000,17,0
1777225942201000,17,0
1777225942705000,17,0
1777225943209000,17,0
1777225943713000,17,0
1777225944217000,17,0
1777225944721000,17,0
1777225945225000,17,0
1777225945729000,17,0
1777225946233000,17,0
1777225946737000,17,0
1777225947241000,17,0
1777225947745000,17,0
1777225948249000,17,0
1777225948753000,17,0
1777225949257000,17,0
1777225949761000,17,0
1777225950265000,17,0
1777225950777000,17,0
1777225951313000,17,0
1777225951817000,17,0
1777225952321000,17,0
1777225952825000,17,0
1777225953329000,17,0
1777225953641000,4,0
1777225954145000,4,0
1777225954649000,4,0
1777225955153000,5,0
1777225955673000,5,0
1777225956217000,5,0
1777225956721000,5,0
1777225957225000,5,0
1777225957729000,5,0
1777225958233000,5,0
1777225958737000,5,0
1777225959241000,5,0
1777225959745000,5,0
1777225960249000,5,0
1777225960753000,5,0
1777225961257000,5,0
1777225961761000,5,0
1777225962265000,5,0
1777225962777000,5,0
1777225963281000,5,0
1777225963785000,5,0
1777225964289000,5,0
1777225964793000,5,0
1777225965297000,5,0
1777225965801000,5,0
1777225966305000,5,0
1777225966809000,5,0
1777225967313000,5,0
1777225967817000,5,0
1777225968321000,5,0
1777225968825000,5,0
1777225969329000,5,0
1777225969833000,5,0
1777225970337000,5,0
1777225970841000,5,0
1777225971345000,5,0
1777225971849000,5,0
1777225972361000,5,0
1777225972913000,5,0
1777225973417000,5,0
1777225973929000,5,0
1777225974433000,5,0
1777225974937000,5,0
1777225975441000,5,0
1777225975609000,4,0
1777225976113000,4,0
