timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
1777318621227000,0,1777318621227000,0,473977420,85455939,488002,488002,0.25,0.5,58.43,58.469997,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621279000,0,1777318621279000,0,473977421,85455939,487987,487987,0.25,0.5,57.14,57.18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621331000,0,1777318621331000,0,473977422,85455940,487994,487994,0.25,0.5,55.879997,55.92,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621383000,0,1777318621383000,0,473977420,85455941,487987,487987,0.25,0.5,54.64,54.69,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621435000,0,1777318621435000,0,473977420,85455939,487999,487999,0.25,0.5,53.43,53.48,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621487000,0,1777318621487000,0,473977419,85455939,488007,488007,0.25,0.5,52.25,52.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621539000,0,1777318621539000,0,473977419,85455941,488002,488002,0.25,0.5,51.1,51.149998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621591000,0,1777318621591000,0,473977419,85455940,487996,487996,0.25,0.5,49.969997,50.02,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621643000,0,1777318621643000,0,473977419,85455941,488009,488009,0.25,0.5,48.87,48.92,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
1777318621695000,0,1777318621695000,0,473977418,85455940,487997,487997,0.25,0.5,47.789997,47.84,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,0,0,0,1,10,0
