timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1777318665527000,1777318665527000,0.49087912,5.8154087e-06,0.038205303,1.0023055,0.00016180974,1.0,1
1777318665631000,1777318665631000,0.49086928,5.6572912e-06,-0.048450842,1.0022372,0.00026024933,1.0,1
1777318665727000,1777318665727000,0.49086305,5.5194955e-06,-0.04412178,1.0021801,0.00021583296,1.0,1
1777318665831000,1777318665831000,0.49084154,5.378265e-06,0.011973638,1.0021217,1.5896052e-05,1.0,1
1777318665935000,1777318665935000,0.49085557,5.2446467e-06,0.0063637905,1.0020698,4.4904646e-06,1.0,1
1777318666031000,1777318666031000,0.49083585,5.12758e-06,0.0007080883,1.002022,5.5597475e-08,1.0,1
1777318666135000,1777318666135000,0.49082363,5.006992e-06,0.03055184,1.0019746,0.000103508384,1.0,1
1777318666231000,1777318666231000,0.4908202,4.9009905e-06,0.014376376,1.0019342,2.2920134e-05,1.0,1
1777318666335000,1777318666335000,0.4908199,4.7914627e-06,0.023803543,1.0018921,6.283762e-05,1.0,1
1777318666431000,1777318666431000,0.49080887,4.694972e-06,-0.007766485,1.0018547,6.6896255e-06,1.0,1
1777318666535000,1777318666535000,0.4908201,4.5950433e-06,0.030089566,1.0018188,0.000100415375,1.0,1
1777318666631000,1777318666631000,0.4908113,4.506765e-06,0.024381371,1.0017848,6.593246e-05,1.0,1
1777318666735000,1777318666735000,0.49081507,4.415196e-06,0.018433394,1.0017511,3.7688453e-05,1.0,1
1777318666831000,1777318666831000,0.49081033,4.3341893e-06,-0.007973436,1.0017201,7.0518354e-06,1.0,1
1777318666927000,1777318666927000,0.49080908,4.2564043e-06,0.026647381,1.0016907,7.876493e-05,1.0,1
1777318667031000,1777318667031000,0.4908215,4.1755256e-06,0.02745843,1.0016611,8.3635e-05,1.0,1
1777318667127000,1777318667127000,0.49082986,4.103781e-06,0.015400469,1.0016341,2.6309723e-05,1.0,1
1777318667231000,1777318667231000,0.49082044,4.0291106e-06,0.07384969,1.0016052,0.0006050041,1.0,1
1777318667327000,1777318667327000,0.49082884,3.9628108e-06,0.017728262,1.0015804,3.4866152e-05,1.0,1
1777318667431000,1777318667431000,0.49084654,3.8936887e-06,-0.03257658,1.0015552,0.00011773174,1.0,1
1777318667527000,1777318667527000,0.4908482,3.8322087e-06,-0.018396815,1.0015314,3.7547255e-05,1.0,1
1777318667631000,1777318667631000,0.49084654,3.768067e-06,-0.04281297,1.0015057,0.00020335495,1.0,1
1777318667735000,1777318667735000,0.4908539,3.706382e-06,-0.009082489,1.0014822,9.152168e-06,1.0,1
1777318667831000,1777318667831000,0.49086258,3.651437e-06,0.012181355,1.0014615,1.6463206e-05,1.0,1
1777318667927000,1777318667927000,0.4908542,3.5983821e-06,0.03090128,1.0014392,0.0001059463,1.0,1
1777318668031000,1777318668031000,0.49085173,3.5430066e-06,-0.07235266,1.0014158,0.00058083405,1.0,1
1777318668135000,1777318668135000,0.49084672,3.489622e-06,0.034704167,1.0013946,0.00013363356,1.0,1
1777318668231000,1777318668231000,0.49086347,3.4420084e-06,-0.03273554,1.0013778,0.00011890458,1.0,1
1777318668335000,1777318668335000,0.49086812,3.3920894e-06,-0.039622135,1.0013584,0.00017419823,1.0,1
1777318668431000,1777318668431000,0.4908701,3.3475183e-06,0.045037154,1.0013419,0.00022506969,1.0,1
1777318668535000,1777318668535000,0.49087986,3.3007982e-06,-0.07012738,1.0013231,0.0005457057,1.0,1
1777318668631000,1777318668631000,0.49088332,3.2590365e-06,-0.004742303,1.0013074,2.4955636e-06,1.0,1
1777318668735000,1777318668735000,0.4908911,3.215238e-06,0.0020528343,1.0012897,4.676334e-07,1.0,1
1777318668831000,1777318668831000,0.49087673,3.1761379e-06,-0.017469324,1.0012717,3.386552e-05,1.0,1
1777318668935000,1777318668935000,0.4908952,3.135114e-06,-0.008655958,1.0012563,8.3146215e-06,1.0,1
1777318669031000,1777318669031000,0.49090812,3.0983892e-06,-0.04432407,1.001242,0.00021802068,1.0,1
1777318669135000,1777318669135000,0.49089485,3.0598585e-06,-0.0033260589,1.0012245,1.227682e-06,1.0,1
1777318669231000,1777318669231000,0.49089816,3.0253975e-06,-0.010844961,1.0012106,1.305233e-05,1.0,1
