timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1777318627743000,47.3977419,8.545594099999999,488.00403,0.0,0.0,0.0,0.0,1,1,0,0
1777318627755000,47.3977419,8.545594099999999,488.00403,0.0,0.0,0.0,0.0,1,1,0,0
1777318627767000,47.3977419,8.545594099999999,488.00403,0.0,0.0,0.0,0.0,1,1,0,0
1777318627779000,47.3977419,8.545594099999999,488.00403,0.0,0.0,0.0,0.0,1,1,0,0
1777318627791000,47.3977419,8.545594099999999,487.99802,0.0,0.0,0.0,0.0,1,1,0,0
1777318627803000,47.3977419,8.545594099999999,487.99802,0.0,0.0,0.0,0.0,1,1,0,0
1777318627815000,47.3977419,8.545594099999999,487.99802,0.0,0.0,0.0,0.0,1,1,0,0
1777318627827000,47.3977419,8.545594099999999,487.99802,0.0,0.0,0.0,0.0,1,1,0,0
1777318627839000,47.3977419,8.545594,487.99103,0.0,0.0,0.0,0.0,1,1,0,0
1777318627851000,47.3977419,8.545594,487.99103,0.0,0.0,0.0,0.0,1,1,0,0
1777318627863000,47.3977419,8.545594,487.99103,0.0,0.0,0.0,0.0,1,1,0,0
1777318627875000,47.3977419,8.545594,487.99103,0.0,0.0,0.0,0.0,1,1,0,0
1777318627887000,47.397742,8.5455939,487.99203,0.0,0.0,0.0,0.0,1,1,0,0
1777318627899000,47.397742,8.5455939,487.99203,0.0,0.0,0.0,0.0,1,1,0,0
1777318627911000,47.397742,8.5455939,487.99203,0.0,0.0,0.0,0.0,1,1,0,0
1777318627923000,47.397742,8.5455939,487.99203,0.0,0.0,0.0,0.0,1,1,0,0
1777318627935000,47.397742,8.5455939,487.99203,0.0,0.0,0.0,0.0,1,1,0,0
1777318627947000,47.3977419,8.5455939,488.00104,0.0,0.0,0.0,0.0,1,1,0,0
1777318627959000,47.3977419,8.5455939,488.00104,0.0,0.0,0.0,0.0,1,1,0,0
1777318627971000,47.3977419,8.5455939,488.00104,0.0,0.0,0.0,0.0,1,1,0,0
1777318627983000,47.3977419,8.5455939,488.00104,0.0,0.0,0.0,0.0,1,1,0,0
1777318627995000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628007000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628019000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628031000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628043000,47.3977419,8.545594,488.01,0.0,0.0,0.0,0.0,1,1,0,0
1777318628055000,47.3977419,8.545594,488.01,0.0,0.0,0.0,0.0,1,1,0,0
1777318628067000,47.3977419,8.545594,488.01,0.0,0.0,0.0,0.0,1,1,0,0
1777318628079000,47.3977419,8.545594,488.01,0.0,0.0,0.0,0.0,1,1,0,0
1777318628091000,47.3977419,8.545594,488.01,0.0,0.0,0.0,0.0,1,1,0,0
1777318628103000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628115000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628127000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628139000,47.3977419,8.5455939,488.00903,0.0,0.0,0.0,0.0,1,1,0,0
1777318628151000,47.3977418,8.5455939,488.00702,0.0,0.0,0.0,0.0,1,1,0,0
1777318628163000,47.3977418,8.5455939,488.00702,0.0,0.0,0.0,0.0,1,1,0,0
1777318628175000,47.3977418,8.5455939,488.00702,0.0,0.0,0.0,0.0,1,1,0,0
1777318628187000,47.3977418,8.5455939,488.00702,0.0,0.0,0.0,0.0,1,1,0,0
1777318628199000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628211000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628223000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628235000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628247000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628259000,47.3977419,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777318628271000,47.3977419,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777318628283000,47.3977419,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777318628295000,47.3977419,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777318628307000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628319000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628331000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628343000,47.3977419,8.545594099999999,487.99402,0.0,0.0,0.0,0.0,1,1,0,0
1777318628355000,47.3977419,8.545594,487.99603,0.0,0.0,0.0,0.0,1,1,0,0
1777318628367000,47.3977419,8.545594,487.99603,0.0,0.0,0.0,0.0,1,1,0,0
1777318628379000,47.3977419,8.545594,487.99603,0.0,0.0,0.0,0.0,1,1,0,0
1777318628391000,47.3977419,8.545594,487.99603,0.0,0.0,0.0,0.0,1,1,0,0
1777318628403000,47.3977419,8.545594,487.99603,0.0,0.0,0.0,0.0,1,1,0,0
