timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1777318619019000,1777318619019000,0.009009821,0.0028374973,0.0009458375,0.2880844,-0.17652953,-0.6168769
1777318619023000,1777318619023000,0.0035436645,0.0008691715,-0.0022656966,-0.42318672,-0.31217548,-0.6968354
1777318619031000,1777318619031000,0.0020431255,0.008895472,0.00025025674,-0.26199958,0.6000068,-0.016115565
1777318619039000,1777318619039000,0.00052318024,0.010498041,-0.0012580372,-0.17162046,0.20997012,-0.12556481
1777318619051000,1777318619051000,-0.007920815,-0.003191729,0.0036939566,-0.5666994,-0.40173888,0.17623056
1777318619059000,1777318619059000,0.003324596,0.0071118274,0.00035028285,0.8449276,0.5655756,-0.16516621
1777318619071000,1777318619071000,-0.00034461461,0.0023888857,0.0057818913,-0.22290935,0.0528538,0.40843758
1777318619079000,1777318619079000,0.0028817828,0.0018673548,-0.002279061,0.19456083,-0.0666331,-0.61122364
1777318619091000,1777318619091000,-0.00062506134,0.006534083,0.0012058882,-0.51591057,0.15822361,-0.06132337
1777318619099000,1777318619099000,-0.0011873392,0.0036352153,0.008015026,-0.0038107932,-0.10890695,0.6329929
1777318619111000,1777318619111000,0.0055701407,-0.0012359472,-0.010104175,0.22615382,-0.85495365,-1.1245672
1777318619119000,1777318619119000,0.0008848413,-0.009730625,0.00028933972,-0.42555672,-0.87630117,0.54805243
1777318619131000,1777318619131000,-0.005996388,-0.0037639518,0.0063120495,-0.2887626,0.4103244,0.38376033
1777318619139000,1777318619139000,-0.0018697486,-0.0038592266,-0.00198517,0.2848955,0.14173304,-0.6815598
1777318619151000,1777318619151000,-0.0057318513,0.00051786687,-0.0022332505,-0.062308982,0.06052679,0.06805146
1777318619159000,1777318619159000,0.007398534,-0.004683166,0.0099545475,0.96210825,-0.3724936,1.0630455
1777318619171000,1777318619171000,0.0066611525,0.00061418687,-0.006890083,0.3696666,0.40151757,-1.1993166
1777318619179000,1777318619179000,-0.0039532273,0.008265968,0.003317357,-0.9819552,0.8170742,0.56912494
1777318619191000,1777318619191000,-0.0051190383,-0.004804938,0.013282011,0.4155838,-1.1020281,0.8561542
1777318619199000,1777318619199000,0.00694037,0.008437,0.010899751,0.9449817,0.91033,-0.056260392
1777318619211000,1777318619211000,0.0056980816,0.0072194766,0.004452638,0.46039358,-0.23982769,-0.052464817
1777318619219000,1777318619219000,0.005671319,0.009100028,0.0071580634,0.006568551,0.15334117,0.091658875
1777318619231000,1777318619231000,-0.0024287105,0.0029698063,-0.0041998527,-0.43320292,-0.4035402,-0.54620636
1777318619239000,1777318619239000,-0.0027808815,0.004699697,0.00788962,-0.09912838,0.040563114,0.85302365
1777318619251000,1777318619251000,0.0014025371,0.009975692,-0.0012615073,0.13617828,0.5747079,-0.6899692
1777318619255000,1777318619255000,0.0014326446,0.0140813785,-0.0017531896,0.08087505,0.7688856,-0.4462127
1777318619271000,1777318619271000,0.00055585185,0.0076444605,0.006374183,-0.42116925,-0.52641284,0.51210886
1777318619279000,1777318619279000,-0.0030617833,0.004583125,0.004699114,-0.34077683,-0.31821254,-0.045515034
1777318619291000,1777318619291000,0.0062755984,0.0035741092,-0.0027067268,0.41994908,-0.18675688,-0.5835593
1777318619299000,1777318619299000,0.003477407,-0.0013620703,-0.0035421248,-0.15804458,-0.53297865,-0.11239863
1777318619311000,1777318619311000,-0.0017018773,-0.0026478665,0.002196684,-0.30191037,-0.2585254,0.14115052
1777318619319000,1777318619319000,-0.002745147,-0.0029777521,0.005884858,-0.08025777,-0.054798134,0.49598572
1777318619331000,1777318619331000,0.0087233875,1.897844e-05,0.0028992954,0.5248774,-0.05930113,-0.35561976
1777318619339000,1777318619339000,-0.0047240574,0.0028907263,0.0066889655,-0.9102979,0.44254172,0.24636649
1777318619351000,1777318619351000,-0.0038023794,0.0036414023,0.0015591801,-0.058797926,0.016414315,-0.3336768
1777318619359000,1777318619359000,-0.0014515817,0.004324294,0.012847189,0.16062473,-0.050111324,0.78857315
1777318619371000,1777318619371000,-0.00071568205,0.0019100884,0.011068441,-0.10987146,0.11598875,-0.029438062
1777318619379000,1777318619379000,-0.002948288,0.0062069185,0.0006572476,-0.20981482,0.3509864,-0.89602405
1777318619391000,1777318619391000,0.0017037616,-0.005774053,-0.0115946345,0.38470638,-0.60217774,-0.6313654
1777318619399000,1777318619399000,0.0025221705,-0.0005557081,6.667323e-05,0.17445834,0.236838,0.73171777
1777318619407000,1777318619407000,0.0027269055,0.0026209708,-0.0038093033,0.060321406,0.3177915,-0.1051315
1777318619419000,1777318619419000,0.0036336093,0.004436725,-0.0020433096,-0.02491057,0.27457544,0.029190233
1777318619431000,1777318619431000,-0.004781612,0.0063138274,0.0069288523,-0.56269455,-0.25794336,0.8131966
1777318619439000,1777318619439000,-0.000891938,0.0072523328,0.0045569763,0.22334947,0.11533852,0.0032435677
1777318619451000,1777318619451000,-0.0053595086,0.011988444,0.007876477,-0.46888763,0.29372543,0.18860689
1777318619459000,1777318619459000,0.0032404482,-0.000107497995,0.004960931,0.62941504,-1.043349,-0.19475366
1777318619471000,1777318619471000,-0.004217423,-0.00069494866,-0.0023297817,-0.47405076,0.09614552,-0.46410063
1777318619475000,1777318619475000,-0.00096244854,0.0038991272,0.00072953355,0.07953191,0.5485281,0.06417782
1777318619491000,1777318619491000,0.000885747,-0.004901332,0.0030653675,-0.32158986,-0.79543227,0.33046296
1777318619499000,1777318619499000,0.001084632,0.0015417896,0.0021725039,-0.14223394,0.3995539,0.09004087
1777318619511000,1777318619511000,0.0006160026,0.0016070934,0.0065515153,0.18802568,-0.25548768,0.14510909
1777318619519000,1777318619519000,0.0008167515,0.0041282955,0.00083277427,-0.040320873,0.29101965,-0.4453167
1777318619531000,1777318619531000,9.6470205e-05,0.008333218,-0.0024054495,0.3188653,-0.060336825,-0.12939692
1777318619539000,1777318619539000,0.0012174476,-0.00032444188,-0.010758523,0.15446089,-0.6768658,-0.80006856
1777318619551000,1777318619551000,0.011298085,0.0038882203,0.007086415,0.6657415,0.31349882,1.4331989
1777318619559000,1777318619559000,0.0041482854,0.00029996876,0.012835221,-0.46853077,-0.25627667,0.7465808
1777318619571000,1777318619571000,0.004319158,0.009558199,-0.006292358,0.16247098,0.43311125,-1.0329636
1777318619579000,1777318619579000,-0.0059002563,0.0053896103,-0.008969689,-0.87637836,-0.17895947,-0.42059377
1777318619591000,1777318619591000,-0.008199592,0.005690445,-0.0005753306,-0.11524345,-0.098140664,0.16719353
1777318619599000,1777318619599000,0.0007194093,0.003547005,0.002320851,0.7424541,-0.13995764,0.33966792
1777318619611000,1777318619611000,-0.002423716,0.0047686193,0.0033200674,-0.12726238,0.04454628,0.0018984237
1777318619615000,1777318619615000,8.690375e-06,0.00611965,-0.0011552939,0.18884769,0.17058869,-0.4798723
1777318619627000,1777318619627000,-0.005407477,0.0022147135,-0.0013643336,-0.5139102,-0.15576375,0.26487777
1777318619639000,1777318619639000,-0.0013267363,-0.01345522,-0.001648472,0.6055118,-0.7143893,-0.17709652
1777318619651000,1777318619651000,0.0037297187,0.00091571873,-0.0059789163,0.37135488,0.68559796,-0.3984111
1777318619659000,1777318619659000,0.012790495,0.0051829116,0.0009992173,0.9659662,0.58717346,0.5402047
1777318619671000,1777318619671000,0.002240657,-0.0004167091,0.0054806895,-0.97685707,-0.26904115,0.14450707
1777318619675000,1777318619675000,-0.0023043153,-0.00040050223,0.005744682,-1.0453722,-0.15164703,0.11075854
1777318619687000,1777318619687000,-0.004626586,-0.0011243522,0.0064492887,-0.21739063,-0.080729015,-0.04598867
1777318619699000,1777318619699000,0.0067810006,0.0018866425,-0.0046149064,0.93189275,0.18176454,-0.88503516
1777318619711000,1777318619711000,0.0011811308,0.00985673,-0.0024818669,-0.5619859,0.59501374,0.043615203
1777318619719000,1777318619719000,-0.011998911,0.0043096934,-0.0013939774,-1.298744,-0.32834074,0.14591654
1777318619731000,1777318619731000,-0.010784018,0.009523604,0.0016831773,0.1539951,0.5402935,0.40671846
1777318619739000,1777318619739000,-0.0020319587,0.0030191178,0.011324251,0.7501487,-0.49766812,0.9391785
1777318619751000,1777318619751000,0.0074268333,-0.007509915,0.010923821,0.9007536,-0.73561996,-0.15605561
1777318619759000,1777318619759000,0.004998494,-0.007808622,0.0029623003,0.034782052,-0.2148665,-0.6237995
1777318619767000,1777318619767000,0.005962965,-0.009091929,-0.0046316325,0.109734595,-0.2713812,-0.90830076
1777318619779000,1777318619779000,-0.012577896,0.000725389,-0.0067722606,-1.3591621,0.894971,-0.3042349
