timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1777225937649000,1777225937649000,197388,0.21846592,0.007983986,0.4342775,0
1777225937781000,1777225937717000,197388,0.21512777,0.0064890576,0.4299896,0
1777225937785000,1777225937785000,197388,0.21296147,0.0081098145,0.4263637,0
1777225937917000,1777225937853000,197388,0.2134922,0.0048418003,0.43073106,0
1777225937921000,1777225937921000,197388,0.21010411,0.0051667932,0.42915744,0
1777225938053000,1777225937989000,197388,0.21459503,0.005920814,0.42923298,0
1777225938057000,1777225938057000,197388,0.21625262,0.0072703282,0.41656485,0
1777225938189000,1777225938125000,197388,0.21494551,0.004722436,0.42963403,0
1777225938193000,1777225938193000,197388,0.2149282,0.0016174569,0.4214353,0
1777225938325000,1777225938261000,197388,0.21574713,0.00660192,0.42799854,0
1777225938329000,1777225938329000,197388,0.21481106,0.006541912,0.43017647,0
1777225938461000,1777225938397000,197388,0.21494162,0.005977316,0.4287306,0
1777225938465000,1777225938465000,197388,0.21295765,0.0049206745,0.42915195,0
1777225938601000,1777225938601000,197388,0.21187867,0.0127741145,0.43563652,0
1777225938733000,1777225938669000,197388,0.21655868,0.006659802,0.43030345,0
1777225938737000,1777225938737000,197388,0.21178263,0.0020396602,0.4214053,0
1777225938869000,1777225938805000,197388,0.2158762,0.0059403037,0.43077537,0
1777225938873000,1777225938873000,197388,0.22292465,0.0044505685,0.4300937,0
1777225939005000,1777225938941000,197388,0.21660222,0.0058806385,0.43079582,0
1777225939009000,1777225939009000,197388,0.2188778,0.005974584,0.4304552,0
1777225939141000,1777225939077000,197388,0.21543334,0.006260115,0.42854723,0
1777225939145000,1777225939145000,197388,0.21442527,0.011324706,0.43228528,0
1777225939281000,1777225939281000,197388,0.21395363,0.008397469,0.42879325,0
1777225939413000,1777225939349000,197388,0.21468572,0.006538194,0.43048105,0
1777225939417000,1777225939417000,197388,0.21525525,-0.0055117453,0.43698293,0
1777225939549000,1777225939485000,197388,0.21549195,0.0061616506,0.4291964,0
1777225939553000,1777225939553000,197388,0.21241589,0.0023299048,0.4222192,0
1777225939685000,1777225939621000,197388,0.21505336,0.003667382,0.42956737,0
1777225939689000,1777225939689000,197388,0.22009276,0.0074151936,0.4271853,0
1777225939821000,1777225939757000,197388,0.21472293,0.003740029,0.42981845,0
1777225939825000,1777225939825000,197388,0.21401967,0.002124212,0.4247042,0
1777225939957000,1777225939893000,197388,0.21495813,0.0039729,0.42845353,0
1777225939961000,1777225939961000,197388,0.21206124,0.002550922,0.42934045,0
1777225940093000,1777225940029000,197388,0.21468428,0.006129622,0.4290219,0
1777225940097000,1777225940097000,197388,0.22179276,0.0017089575,0.42994937,0
1777225940229000,1777225940165000,197388,0.21308525,0.004663547,0.42917448,0
1777225940233000,1777225940233000,197388,0.20799208,0.0051820315,0.42005298,0
1777225940365000,1777225940301000,197388,0.21468689,0.005715032,0.428627,0
1777225940369000,1777225940369000,197388,0.21789762,0.010292285,0.4442283,0
1777225940501000,1777225940437000,197388,0.21557121,0.005338994,0.42999938,0
1777225940505000,1777225940505000,197388,0.22690022,0.007773998,0.43429017,0
1777225940637000,1777225940573000,197388,0.21631004,0.00627356,0.43033364,0
1777225940641000,1777225940641000,197388,0.21352567,0.013468835,0.42273977,0
1777225940773000,1777225940709000,197388,0.21559896,0.005427265,0.43000656,0
1777225940777000,1777225940777000,197388,0.21485466,0.0017209756,0.43276694,0
1777225940909000,1777225940845000,197388,0.21366097,0.0059672236,0.4296353,0
1777225940913000,1777225940913000,197388,0.21389034,0.0004585014,0.42694157,0
1777225941045000,1777225940981000,197388,0.215783,0.0057347226,0.42938462,0
1777225941049000,1777225941049000,197388,0.21615253,0.010801233,0.43122858,0
