timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1777225937769000,0.0,nan,0,180,103981,1024000,0,3,1,187
1777225938769000,399.35938,399.35938,0,181,6874,1024000,0,3,1,187
1777225939769000,702.416,351.208,0,182,6874,1024000,0,3,1,187
1777225940769000,1004.86035,334.95346,0,182,7149,1024000,0,3,1,187
1777225941769000,1311.2764,327.8191,0,182,3002,1024000,0,3,1,187
1777225942769000,1609.3438,321.86874,0,183,7026,1024000,0,3,1,187
1777225943769000,1911.6533,318.6089,0,183,6830,1024000,0,3,1,187
1777225944769000,2214.6113,316.37308,0,183,7149,1024000,0,3,1,187
1777225945769000,2521.08,315.135,0,185,3154,1024000,0,3,1,187
1777225946769000,2819.9346,313.32605,0,185,6939,1024000,0,3,1,187
1777225947769000,3122.6533,312.26535,0,185,6853,1024000,0,3,1,187
1777225948769000,3425.122,311.37473,0,185,6993,1024000,0,3,1,187
1777225949769000,3731.2578,310.93814,0,185,3770,1024000,0,3,1,187
1777225950769000,4032.208,310.16986,0,185,5534,1024000,0,3,1,187
1777225951769000,4337.3,309.80713,0,185,3520,1024000,0,3,1,187
1777225952769000,4636.7783,309.11856,0,185,6874,1024000,0,3,1,187
1777225953769000,4943.383,308.96143,0,185,3806,1024000,0,3,1,187
1777225954769000,5246.873,308.6396,0,186,3002,1024000,0,3,1,187
1777225955769000,5547.2314,308.1795,0,190,7026,1024000,0,3,1,187
1777225956769000,5849.879,307.88837,0,190,6971,1024000,0,3,1,187
1777225957769000,6155.6514,307.7826,0,190,3915,1024000,0,3,1,187
1777225958769000,6456.5654,307.45547,0,190,5863,1024000,0,3,1,187
1777225959769000,6759.49,307.24954,0,190,5502,1024000,0,3,1,187
1777225960769000,7063.832,307.12314,0,191,3553,1024000,0,3,1,187
1777225961769000,7363.3057,306.80438,0,191,6835,1024000,0,3,1,187
1777225962769000,7669.616,306.78464,0,192,3002,1024000,0,3,1,187
1777225963769000,7969.6895,306.52652,0,192,5572,1024000,0,3,1,187
1777225964769000,8274.329,306.45663,0,192,3520,1024000,0,3,1,187
1777225965769000,8573.212,306.18616,0,194,6754,1024000,0,3,1,187
1777225966769000,8878.871,306.168,0,195,3926,1024000,0,3,1,187
1777225967769000,9179.904,305.9968,0,195,5534,1024000,0,3,1,187
1777225968769000,9484.507,305.95184,0,195,3520,1024000,0,3,1,187
1777225969769000,9783.627,305.73834,0,196,6973,1024000,0,3,1,187
1777225970769000,10089.423,305.74008,0,196,3915,1024000,0,3,1,187
1777225971769000,10392.887,305.67313,0,196,3154,1024000,0,3,1,187
1777225972769000,10691.815,305.48044,0,196,6983,1024000,0,3,1,187
1777225973769000,10994.981,305.41617,0,196,7050,1024000,0,3,1,187
1777225974769000,11297.117,305.32748,0,197,6908,1024000,0,3,1,187
1777225975769000,11601.109,305.29233,0,198,5908,1024000,0,3,1,187
