timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1777318619831000,1777318619831000,1310988,-0.06703765,0.035913024,-9.763555,0.0,0,0,0,0,1
1777318620831000,1777318620831000,1310988,-0.033518825,0.009576807,-9.871294,0.0,0,0,0,0,1
1777318621831000,1777318621831000,1310988,0.08619126,0.009576807,-9.773131,0.0,0,0,0,0,1
1777318622831000,1777318622831000,1310988,0.06703765,-0.007182605,-9.763555,0.0,0,0,0,0,1
1777318623831000,1777318623831000,1310988,0.0023942017,0.021547815,-9.835381,0.0,0,0,0,0,1
1777318624831000,1777318624831000,1310988,-0.009576807,-0.019153614,-9.809045,0.0,0,0,0,0,1
1777318625831000,1777318625831000,1310988,-0.04309563,0.009576807,-9.82341,0.0,0,0,0,0,1
1777318626831000,1777318626831000,1310988,-0.05746084,-0.047884032,-9.847352,0.0,0,0,0,0,1
1777318627831000,1777318627831000,1310988,-0.04070143,0.035913024,-9.782708,0.0,0,0,0,0,1
1777318628831000,1777318628831000,1310988,-0.01436521,0.011971008,-9.787497,0.0,0,0,0,0,1
1777318629831000,1777318629831000,1310988,-0.06703765,-0.047884032,-9.787497,0.0,0,0,0,0,1
1777318630831000,1777318630831000,1310988,-0.023942016,-0.031124622,-9.832987,0.0,0,0,0,0,1
1777318631831000,1777318631831000,1310988,-0.033518825,0.009576807,-9.847352,0.0,0,0,0,0,1
1777318632831000,1777318632831000,1310988,0.016759412,0.079008654,-9.794679,0.0,0,0,0,0,1
1777318633831000,1777318633831000,1310988,0.019153614,-0.031124622,-9.835381,0.0,0,0,0,0,1
1777318634831000,1777318634831000,1310988,0.019153614,-0.055066638,-9.76116,0.0,0,0,0,0,1
1777318635831000,1777318635831000,1310988,0.055066638,-0.0047884034,-9.734824,0.0,0,0,0,0,1
1777318636831000,1777318636831000,1310988,-0.035913024,0.0047884034,-9.818622,0.0,0,0,0,0,1
1777318637831000,1777318637831000,1310988,0.0,-0.0047884034,-9.715671,0.0,0,0,0,0,1
1777318638831000,1777318638831000,1310988,-0.04070143,0.0023942017,-9.828198,0.0,0,0,0,0,1
1777318639831000,1777318639831000,1310988,0.079008654,0.04070143,-9.844957,0.0,0,0,0,0,1
1777318640831000,1777318640831000,1310988,0.090979666,-0.038307227,-9.792285,0.0,0,0,0,0,1
1777318641831000,1777318641831000,1310988,0.05267244,0.0023942017,-9.78989,0.0,0,0,0,0,1
1777318642831000,1777318642831000,1310988,0.04070143,0.06464344,-9.787497,0.0,0,0,0,0,1
1777318643831000,1777318643831000,1310988,-0.0047884034,0.0047884034,-9.7803135,0.0,0,0,0,0,1
1777318644831000,1777318644831000,1310988,-0.050278235,0.016759412,-9.787497,0.0,0,0,0,0,1
1777318645831000,1777318645831000,1310988,0.038307227,0.02633622,-9.794679,0.0,0,0,0,0,1
1777318646831000,1777318646831000,1310988,-0.009576807,0.02633622,-9.832987,0.0,0,0,0,0,1
1777318647831000,1777318647831000,1310988,0.021547815,-0.007182605,-9.797073,0.0,0,0,0,0,1
1777318648831000,1777318648831000,1310988,0.02873042,-0.021547815,-9.842564,0.0,0,0,0,0,1
1777318649831000,1777318649831000,1310988,-0.045489833,-0.019153614,-9.758766,0.0,0,0,0,0,1
1777318650831000,1777318650831000,1310988,0.023942016,0.0047884034,-9.828198,0.0,0,0,0,0,1
1777318651831000,1777318651831000,1310988,0.01436521,0.021547815,-9.797073,0.0,0,0,0,0,1
1777318652831000,1777318652831000,1310988,-0.0047884034,-0.011971008,-9.787497,0.0,0,0,0,0,1
1777318653831000,1777318653831000,1310988,-0.007182605,-0.047884032,-9.797073,0.0,0,0,0,0,1
