timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
1777225937849000,1777225937849000,1777225652689000,47.397742,8.5455943,-0.027150039,-0.027829146,0.015899658,-0.0005730107,0.0002314337,-487.9991,-0.0009463447,-0.015076019,-0.041908145,-0.07049681,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.01926427,0.0025924048,-0.0005234032,0.017248394,0.00029898933,0.014964145,0.0050611896,1.9225452e-05,487.9991,0.010009766,1e-04,-487.9991,0.12214986,0.114050366,0.081681006,0.049631607,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937857000,1777225937857000,1777225652689000,47.397742,8.5455943,-0.027092306,-0.02780705,0.015655518,-0.0005730107,0.0002314337,-487.9991,-0.0012186711,-0.01477583,-0.041889768,-0.07025504,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.038089294,0.024369648,-0.002863351,0.017200349,0.00029907873,0.014915217,0.0050611896,1.8987621e-05,487.9991,0.010009766,1e-04,-487.9991,0.1199005,0.11272684,0.080029026,0.04918619,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937865000,1777225937865000,1777225652689000,47.397742,8.5455943,-0.027038328,-0.027786607,0.015380859,-0.0005730107,0.0002314337,-487.9991,-0.0015261568,-0.014596745,-0.04178091,-0.06992205,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.04237768,0.009574993,0.0085053025,0.01711629,0.00029837462,0.014830092,0.0050611896,1.9020963e-05,487.9991,0.010009766,1e-04,-487.9991,0.120300636,0.11297626,0.080319695,0.0492692,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937873000,1777225937873000,1777225652689000,47.397742,8.5455943,-0.026985647,-0.02776881,0.015106201,-0.0005730107,0.0002314337,-487.9991,-0.0012724309,-0.014417242,-0.041826144,-0.06974247,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.027729686,0.010009678,-0.010698567,0.017132027,0.00029833283,0.014845053,0.0050611896,1.9063293e-05,487.9991,0.010009766,1e-04,-487.9991,0.12070534,0.113226525,0.080618426,0.049352083,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937881000,1777225937881000,1777225652689000,47.397742,8.5455943,-0.026932422,-0.027752602,0.014862061,-0.0005730107,0.0002314337,-487.9991,-0.0011094942,-0.014159266,-0.041842967,-0.069533825,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.016480636,0.020184418,-0.0070915553,0.017126353,0.00029843982,0.014838709,0.0050611896,1.910781e-05,487.9991,0.010009766,1e-04,-487.9991,0.12111317,0.11347763,0.080919325,0.049434837,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937889000,1777225937889000,1777225652689000,47.397742,8.5455943,-0.026878983,-0.027737882,0.01461792,-0.0005730107,0.0002314337,-487.9991,-0.00091284764,-0.013796873,-0.041989453,-0.069454245,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.020792823,0.03359639,-0.023244878,0.017135618,0.00029854686,0.014847327,0.0050611896,1.9152367e-05,487.9991,0.010009766,1e-04,-487.9991,0.121523775,0.113729574,0.08121999,0.049517464,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937897000,1777225937897000,1777225652689000,47.397742,8.5455943,-0.026825825,-0.027724471,0.014343262,-0.0005730107,0.0002314337,-487.9991,-0.00078617065,-0.013748797,-0.04218923,-0.06942743,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.012139029,-0.0053496156,-0.029852612,0.017095858,0.00029865393,0.01480693,0.0050611896,1.9196961e-05,487.9991,0.010009766,1e-04,-487.9991,0.12193715,0.11398234,0.08152126,0.049599968,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937905000,1777225937905000,1777225652689000,47.397742,8.5455943,-0.026769979,-0.027684946,0.014099121,-0.0005730107,0.0002314337,-487.9991,-0.00084638817,-0.013890418,-0.04189113,-0.068909556,-2.551949e-05,-1.4980818e-05,4.813075e-06,-0.011411609,-0.03141612,0.031792555,0.017062455,0.00029874285,0.014772909,0.0050611896,1.8961382e-05,487.9991,0.010009766,1e-04,-487.9991,0.119702905,0.11260378,0.079881966,0.049145713,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937913000,1777225937913000,1777225652689000,47.397742,8.5455943,-0.026715407,-0.027650593,0.013824463,-0.0005730107,0.0002314337,-487.9991,-0.0007406696,-0.013977417,-0.041617617,-0.068415575,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.009427228,-0.024183726,0.028789507,0.017101578,0.00029885,0.014811248,0.0050611896,1.9005813e-05,487.9991,0.010009766,1e-04,-487.9991,0.12010396,0.112852804,0.0801822,0.049228787,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
1777225937921000,1777225937921000,1777225652689000,47.397742,8.5455943,-0.026661595,-0.027618496,0.013580322,-0.0005730107,0.0002314337,-487.9991,-0.0006540971,-0.013471575,-0.04196179,-0.06853857,-2.551949e-05,-1.4980818e-05,4.813075e-06,0.007132441,0.050312225,-0.0483538,0.017129054,0.0002989572,0.01483796,0.0050611896,1.9050283e-05,487.9991,0.010009766,1e-04,-487.9991,0.12050777,0.11310267,0.08048308,0.049311735,inf,inf,inf,inf,inf,1,1,1,1,3,2,2,1,2,1,1,1,0,2,0,0
