timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1777225936841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225937841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225938841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225939841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225940841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225941841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225942841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225943841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225944841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225945841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225946841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225947841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225948841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225949841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225950841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225951841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225952841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225953841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225954841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225955841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225956841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225957841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225958841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225959841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225960841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225961841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225962841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225963841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225964841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225965841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225966841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225967841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225968841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225969841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225970841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225971841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225972841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225973841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225974841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1777225975841000,1777225652689000,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
