timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1777225955629000,1777225955629000,1310988,1310988,-2.270572e-06,-1.3916309e-05,-2.005331e-05,-0.00018674775,6.22498e-05,-0.031656142,4000,4000,0,0,0,1
1777225956129000,1777225956129000,1310988,1310988,-2.144544e-05,4.893423e-05,1.2969866e-05,0.00014844054,8.140346e-05,-0.033992875,4000,4000,0,0,0,1
1777225956629000,1777225956629000,1310988,1310988,-5.233802e-05,-1.0720626e-05,1.5100365e-05,7.1826056e-05,9.576875e-05,-0.039403778,4000,4000,0,0,0,1
1777225957129000,1777225957129000,1310988,1310988,-1.6119066e-05,-4.0547937e-05,5.513044e-06,-1.43652105e-05,0.000119710785,-0.039403778,4000,4000,0,0,0,1
1777225957629000,1777225957629000,1310988,1310988,-8.216545e-05,-1.0720345e-05,6.578397e-06,3.3518827e-05,0.00011013397,-0.039264914,4000,4000,0,0,0,1
1777225958129000,1777225958129000,1310988,1310988,-1.400679e-07,7.3889382e-06,1.8672846e-07,0.0002442086,0.00038307297,-0.03947081,4000,4000,0,0,0,1
1777225958629000,1777225958629000,1310988,1310988,1.796945e-05,8.454186e-06,2.1492035e-05,9.097968e-05,0.000158018,-0.039331954,4000,4000,0,0,0,1
1777225959129000,1777225959129000,1310988,1310988,6.2710445e-05,-5.865757e-05,6.5782074e-06,0.0002873042,-0.00014365138,-0.040557783,4000,4000,0,0,0,1
1777225959629000,1777225959629000,1310988,1310988,1.4773651e-05,-4.328959e-06,2.3172756e-06,-4.788404e-06,1.9154322e-05,-0.04049074,4000,4000,0,0,0,1
1777225960129000,1777225960129000,1310988,1310988,3.0752617e-05,9.973139e-07,3.382566e-06,2.3942017e-05,0.000134076,-0.040351883,4000,4000,0,0,0,1
1777225960629000,1777225960629000,1310988,1310988,2.4360968e-05,-5.3331158e-05,1.4035169e-05,0.0001628057,3.3519525e-05,-0.040136404,4000,4000,0,0,0,1
1777225961129000,1777225961129000,1310988,1310988,3.394837e-05,-3.202588e-05,3.0014142e-05,-0.00015801731,-3.8306534e-05,-0.039973598,4000,4000,0,0,0,1
1777225961629000,1777225961629000,1310988,1310988,5.6319022e-05,-3.6286747e-05,-1.8988138e-05,0.00013407532,4.7890985e-06,-0.039839517,4000,4000,0,0,0,1
1777225962129000,1777225962129000,1310988,1310988,3.927477e-05,-1.1785714e-05,1.2520372e-06,5.267244e-05,-8.140217e-05,-0.03969108,4000,4000,0,0,0,1
1777225962629000,1777225962629000,1310988,1310988,-8.66187e-06,0.000100067,-3.0090907e-06,-4.7884034e-05,6.703835e-05,-0.03953306,4000,4000,0,0,0,1
1777225963129000,1777225963129000,1310988,1310988,8.382038e-06,2.2302662e-05,-1.04658975e-05,0.00016759415,6.937429e-10,-0.039748542,4000,4000,0,0,0,1
1777225963629000,1777225963629000,1310988,1310988,-1.9314884e-05,-1.4981648e-05,4.2797274e-05,0.00015322893,0.00021069044,-0.039475597,4000,4000,0,0,0,1
1777225964129000,1777225964129000,1310988,1310988,2.4361081e-05,4.0412127e-05,7.643512e-06,-0.00016759415,0.00010534556,-0.03930322,4000,4000,0,0,0,1
1777225964629000,1777225964629000,1310988,1310988,9.252313e-07,-6.4594956e-06,-2.3249084e-05,-3.351883e-05,0.00022984404,-0.039149992,4000,4000,0,0,0,1
1777225965129000,1777225965129000,1310988,1310988,2.9687351e-05,-3.2636915e-06,-1.9437941e-06,-4.7884034e-05,-0.00026336152,-0.039293647,4000,4000,0,0,0,1
1777225965629000,1777225965629000,1310988,1310988,2.7556878e-05,3.8281534e-05,1.9361616e-05,0.00015801731,0.0002681513,-0.03903507,4000,4000,0,0,0,1
1777225966129000,1777225966129000,1310988,1310988,-1.71843e-05,2.0625803e-06,2.4687817e-05,-0.00019632454,0.00011971078,-0.039068587,4000,4000,0,0,0,1
1777225966629000,1777225966629000,1310988,1310988,2.968725e-05,-5.439649e-05,3.107933e-05,6.2249244e-05,-0.00011970941,-0.03919787,4000,4000,0,0,0,1
1777225967129000,1777225967129000,1310988,1310988,1.2643137e-05,9.973119e-07,1.2969905e-05,-0.00020590136,-9.5767384e-05,-0.039403778,4000,4000,0,0,0,1
1777225967629000,1777225967629000,1310988,1310988,-1.0792679e-05,1.1649974e-05,2.681838e-05,-8.140286e-05,-0.00014365141,-0.03910211,4000,4000,0,0,0,1
1777225968129000,1777225968129000,1310988,1310988,2.5426238e-05,-6.4596015e-06,-3.603227e-05,-0.00021068976,7.182674e-05,-0.03916914,4000,4000,0,0,0,1
1777225968629000,1777225968629000,1310988,1310988,3.3948396e-05,1.3780511e-05,-2.3249111e-05,-0.00010534487,-7.661378e-05,-0.039308008,4000,4000,0,0,0,1
1777225969129000,1777225969129000,1310988,1310988,-5.4663437e-06,-7.357115e-05,-7.2702346e-06,-2.3942017e-05,2.8731116e-05,-0.039729387,4000,4000,0,0,0,1
1777225969629000,1777225969629000,1310988,1310988,6.058004e-05,-7.524819e-06,3.4275174e-05,-0.00038307227,-0.00015322825,-0.03931758,4000,4000,0,0,0,1
1777225970129000,1777225970129000,1310988,1310988,-1.9314877e-05,-1.3916291e-05,-3.2836448e-05,-2.3942019e-05,8.1403545e-05,-0.039341528,4000,4000,0,0,0,1
1777225970629000,1777225970629000,1310988,1310988,-3.335782e-06,-7.5247767e-06,3.0014158e-05,-2.8730423e-05,-0.0001244978,-0.039245754,4000,4000,0,0,0,1
1777225971129000,1777225971129000,1310988,1310988,-3.7424266e-05,2.1237593e-05,-1.7922637e-05,-0.0001197101,-0.00013407464,-0.03911647,4000,4000,0,0,0,1
1777225971629000,1777225971629000,1310988,1310988,-2.144534e-05,-1.6046844e-05,1.616575e-05,0.00017717092,-0.00028730356,-0.039451662,4000,4000,0,0,0,1
1777225972129000,1777225972129000,1310988,1310988,1.4773655e-05,-1.1331839e-06,-1.0465901e-05,-0.00019153615,-0.0002489963,-0.0391452,4000,4000,0,0,0,1
1777225972629000,1777225972629000,1310988,1310988,1.4773653e-05,5.258433e-06,-8.335366e-06,0.00012449849,-0.0004501093,-0.039432503,4000,4000,0,0,0,1
1777225973129000,1777225973129000,1310988,1310988,-2.1445408e-05,-3.202584e-05,4.8123613e-05,0.00028730422,-0.000110132605,-0.039106894,4000,4000,0,0,0,1
1777225973629000,1777225973629000,1310988,1310988,-2.2705763e-06,-3.263685e-06,-8.335387e-06,0.0001436521,-0.00045968607,-0.039068587,4000,4000,0,0,0,1
1777225974129000,1777225974129000,1310988,1310988,7.3167075e-06,2.8694269e-05,3.534046e-05,-4.7884034e-05,-0.00023463111,-0.039159562,4000,4000,0,0,0,1
1777225974629000,1777225974629000,1310988,1310988,1.05126155e-05,-1.072055e-05,-1.3661689e-05,1.9153616e-05,-0.00027772674,-0.039193083,4000,4000,0,0,0,1
1777225975129000,1777225975129000,1310988,1310988,8.382047e-06,2.5498459e-05,-6.2048184e-06,-2.8730421e-05,-0.00017717025,-0.039068587,4000,4000,0,0,0,1
1777225975629000,1777225975629000,1310988,1310988,-3.2097872e-05,4.147748e-05,2.468788e-05,-8.140285e-05,-0.00032082235,-0.039245754,4000,4000,0,0,0,1
1777225976129000,1777225976129000,1310988,1310988,3.181788e-05,-9.655289e-06,3.382584e-06,0.00022026658,-0.0002059007,-0.039331954,4000,4000,0,0,0,1
