timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
1777318618899000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318619403000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318619823000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318620327000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318620831000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318621335000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318621839000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318622343000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318622847000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318623351000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318623855000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318624359000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318624863000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318625367000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318625871000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318626375000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318626879000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318627383000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318627887000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318628391000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318628895000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318629399000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318629903000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318630407000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318630911000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318631415000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318631919000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318632423000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318632927000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318633431000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318633935000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318634403000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318634907000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318635411000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318635915000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318636419000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318636923000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318637427000,0,1,0,1,0,1,1,0,1,1,1,1,0
