timestamp,load,ram_usage
1777318619819000,0.14035088,0.14241551
1777318620319000,0.13207547,0.14250901
1777318620819000,0.13793103,0.14365281
1777318621319000,0.13846155,0.14416334
1777318621819000,0.14285715,0.1442006
1777318622319000,0.13846155,0.14437962
1777318622819000,0.12903225,0.14463292
1777318623319000,0.13114753,0.14470357
1777318623819000,0.12068965,0.14489424
1777318624319000,0.13559322,0.14503416
1777318624819000,0.118644066,0.14514458
1777318625319000,0.14814815,0.14527673
1777318625819000,0.14285715,0.14539927
1777318626319000,0.14285715,0.1455776
1777318626819000,0.14864865,0.14572963
1777318627319000,0.14492753,0.14588326
1777318627819000,0.14705883,0.14603119
1777318628319000,0.15492958,0.14620928
1777318628819000,0.13513513,0.14693882
1777318629319000,0.15277778,0.1471471
1777318629819000,0.1388889,0.1472957
1777318630319000,0.13333334,0.14741893
1777318630819000,0.15068494,0.14768916
1777318631319000,0.14666666,0.14785035
1777318631819000,0.1369863,0.14797243
1777318632319000,0.15492958,0.14796671
1777318632819000,0.125,0.14796534
1777318633319000,0.16666667,0.14799644
1777318633819000,0.1388889,0.1480177
1777318634319000,0.15384616,0.14801358
1777318634819000,0.15873016,0.14801861
1777318635319000,0.13559322,0.14801884
1777318635819000,0.15254237,0.14756937
1777318636319000,0.15789473,0.14758651
1777318636819000,0.13333334,0.148231
1777318637319000,0.12068965,0.14823489
1777318637819000,0.15625,0.14822643
1777318638319000,0.140625,0.1482358
1777318638819000,0.12857144,0.14822666
1777318639319000,0.13333334,0.14827375
1777318639819000,0.171875,0.14829502
1777318640319000,0.14084508,0.1483037
1777318640819000,0.14705883,0.14830713
1777318641319000,0.15384616,0.14830165
1777318641819000,0.1369863,0.14836794
1777318642319000,0.16216215,0.1484011
1777318642819000,0.13432837,0.14839745
1777318643319000,0.15492958,0.1483892
1777318643819000,0.15492958,0.14838007
1777318644319000,0.15492958,0.1483867
1777318644819000,0.14705883,0.14839882
1777318645319000,0.1594203,0.14841825
1777318645819000,0.15151516,0.14840841
1777318646319000,0.15151516,0.14841871
1777318646819000,0.17142858,0.14840956
1777318647319000,0.14925373,0.1484139
1777318647819000,0.14925373,0.14841115
1777318648319000,0.15384616,0.1484155
1777318648819000,0.15277778,0.1484354
1777318649319000,0.16923077,0.14843014
1777318649819000,0.14754099,0.14842008
1777318650319000,0.14516129,0.14853896
1777318650819000,0.13559322,0.14786635
1777318651319000,0.13114753,0.14784074
1777318651819000,0.140625,0.14785263
1777318652319000,0.12698413,0.14785767
1777318652819000,0.15151516,0.14784874
1777318653319000,0.13846155,0.14784554
1777318653819000,0.13846155,0.1478341
1777318654319000,0.14516129,0.14782679
1777318654819000,0.11111111,0.14782634
1777318655319000,0.13793103,0.14782679
1777318655819000,0.140625,0.14783503
1777318656319000,0.13636364,0.14783068
1777318656819000,0.12307692,0.14781971
1777318657319000,0.14035088,0.14821935
1777318657819000,0.14285715,0.14825226
1777318658319000,0.12698413,0.14825775
1777318658819000,0.13114753,0.1482797
1777318659319000,0.11940298,0.14834508
1777318659819000,0.12307692,0.1484123
1777318660319000,0.14754099,0.14844659
1777318660819000,0.12903225,0.14847906
1777318661319000,0.12698413,0.14848843
1777318661819000,0.14285715,0.14850764
1777318662319000,0.13333334,0.1484978
1777318662819000,0.14516129,0.14850627
1777318663319000,0.14035088,0.14849918
1777318663819000,0.15254237,0.14851129
1777318664319000,0.12698413,0.14853987
1777318664819000,0.13114753,0.14854673
1777318665319000,0.125,0.14854193
1777318665819000,0.13114753,0.14853302
1777318666319000,0.16129032,0.14854285
1777318666819000,0.114754096,0.14854491
1777318667319000,0.13636364,0.14855245
1777318667819000,0.13333334,0.14854765
1777318668319000,0.13114753,0.14855154
1777318668819000,0.13636364,0.1485584
1777318669319000,0.13559322,0.14855404
1777318669819000,0.15517241,0.14858629
1777318670319000,0.13559322,0.14858194
1777318670819000,0.13114753,0.14858629
1777318671319000,0.12903225,0.14859223
1777318671819000,0.140625,0.14858879
1777318672319000,0.15625,0.14859177
1777318672819000,0.13114753,0.14874633
1777318673319000,0.125,0.14873603
1777318673819000,0.140625,0.14874151
1777318674319000,0.14754099,0.14873855
1777318674819000,0.140625,0.14874175
1777318675319000,0.13636364,0.14874746
