timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777318619019000,0.0,0.0,0.0,0.0
1777318619023000,0.0,0.0,0.0,0.0
1777318619219000,0.0,0.0,0.0,0.0
1777318619419000,0.0,0.0,0.0,0.0
1777318619615000,0.0,0.0,0.0,0.0
1777318619819000,0.0,0.0,0.0,0.0
1777318620019000,0.0,0.0,0.0,0.0
1777318620219000,0.0,0.0,0.0,0.0
1777318620419000,0.0,0.0,0.0,0.0
1777318620619000,0.0,0.0,0.0,0.0
1777318620819000,0.0,0.0,0.0,0.0
1777318621019000,0.0,0.0,0.0,0.0
1777318621219000,0.0,0.0,0.0,0.0
1777318621419000,0.0,0.0,0.0,0.0
1777318621619000,0.0,0.0,0.0,0.0
1777318621819000,0.0,0.0,0.0,0.0
1777318622019000,0.0,0.0,0.0,0.0
1777318622215000,0.0,0.0,0.0,0.0
1777318622419000,0.0,0.0,0.0,0.0
1777318622619000,0.0,0.0,0.0,0.0
1777318622819000,0.0,0.0,0.0,0.0
1777318623019000,0.0,0.0,0.0,0.0
1777318623219000,0.0,0.0,0.0,0.0
1777318623419000,0.0,0.0,0.0,0.0
1777318623619000,0.0,0.0,0.0,0.0
1777318623819000,0.0,0.0,0.0,0.0
1777318624019000,0.0,0.0,0.0,0.0
1777318624219000,0.0,0.0,0.0,0.0
1777318624419000,0.0,0.0,0.0,0.0
1777318624619000,0.0,0.0,0.0,0.0
1777318624819000,0.0,0.0,0.0,0.0
1777318625019000,0.0,0.0,0.0,0.0
1777318625219000,0.0,0.0,0.0,0.0
1777318625419000,0.0,0.0,0.0,0.0
1777318625619000,0.0,0.0,0.0,0.0
1777318625819000,0.0,0.0,0.0,0.0
1777318626019000,0.0,0.0,0.0,0.0
1777318626219000,0.0,0.0,0.0,0.0
1777318626419000,0.0,0.0,0.0,0.0
1777318626619000,0.0,0.0,0.0,0.0
1777318626819000,0.0,0.0,0.0,0.0
1777318627019000,0.0,0.0,0.0,0.0
1777318627219000,0.0,0.0,0.0,0.0
1777318627419000,0.0,0.0,0.0,0.0
1777318627619000,0.0,0.0,0.0,0.0
1777318627819000,0.0,0.0,0.0,0.0
1777318628019000,0.0,0.0,0.0,0.0
