timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
1777318622951000,1777318622951000,6620172,488.15915,0.0,95597.336,1.1358545,0
1777318623047000,1777318623001000,6620172,488.07465,0.0,95598.34,1.1358665,0
1777318623051000,1777318623051000,6620172,488.14508,0.0,95597.5,1.1358565,0
1777318623147000,1777318623101000,6620172,488.0981,0.0,95598.04,1.1358628,0
1777318623151000,1777318623151000,6620172,488.03238,0.0,95598.84,1.1358724,0
1777318623251000,1777318623251000,6620172,488.20142,0.0,95596.87,1.1358489,0
1777318623351000,1777318623351000,6620172,487.97604,0.0,95599.46,1.1358796,0
1777318623447000,1777318623401000,6620172,488.06995,0.0,95598.414,1.1358674,0
1777318623451000,1777318623451000,6620172,488.15445,0.0,95597.43,1.1358557,0
1777318623547000,1777318623501000,6620172,488.06995,0.0,95598.4,1.1358671,0
1777318623551000,1777318623551000,6620172,488.05118,0.0,95598.61,1.1358696,0
1777318623647000,1777318623601000,6620172,488.06055,0.0,95598.46,1.1358678,0
1777318623651000,1777318623651000,6620172,488.02768,0.0,95598.86,1.1358726,0
1777318623747000,1777318623701000,6620172,488.06055,0.0,95598.48,1.1358681,0
1777318623751000,1777318623751000,6620172,488.19672,0.0,95596.97,1.1358501,0
1777318623847000,1777318623801000,6620172,488.06525,0.0,95598.44,1.1358676,0
1777318623851000,1777318623851000,6620172,488.0183,0.0,95598.984,1.135874,0
1777318623947000,1777318623901000,6620172,488.0887,0.0,95598.195,1.1358647,0
1777318623951000,1777318623951000,6620172,488.14038,0.0,95597.56,1.1358572,0
1777318624047000,1777318624001000,6620172,488.07935,0.0,95598.27,1.1358657,0
1777318624051000,1777318624051000,6620172,488.04178,0.0,95598.7,1.1358707,0
1777318624151000,1777318624151000,6620172,488.05588,0.0,95598.52,1.1358685,0
1777318624247000,1777318624201000,6620172,488.07935,0.0,95598.26,1.1358654,0
1777318624251000,1777318624251000,6620172,488.05588,0.0,95598.58,1.1358693,0
1777318624347000,1777318624301000,6620172,488.0887,0.0,95598.21,1.1358649,0
1777318624351000,1777318624351000,6620172,487.8258,0.0,95601.19,1.1359001,0
1777318624447000,1777318624401000,6620172,488.07465,0.0,95598.305,1.1358659,0
1777318624451000,1777318624451000,6620172,488.12158,0.0,95597.8,1.13586,0
1777318624547000,1777318624501000,6620172,488.1028,0.0,95598.01,1.1358625,0
1777318624551000,1777318624551000,6620172,488.14038,0.0,95597.6,1.1358576,0
1777318624647000,1777318624601000,6620172,488.0934,0.0,95598.1,1.1358635,0
1777318624651000,1777318624651000,6620172,488.15915,0.0,95597.37,1.1358548,0
1777318624747000,1777318624701000,6620172,488.05588,0.0,95598.555,1.1358689,0
1777318624751000,1777318624751000,6620172,488.13098,0.0,95597.7,1.1358589,0
1777318624847000,1777318624801000,6620172,488.05588,0.0,95598.54,1.1358688,0
1777318624851000,1777318624851000,6620172,488.0981,0.0,95598.08,1.1358633,0
