timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1777225937769000,0.00023130649,-0.002946455,-0.0010185795,4000,0,-0.010773908,-0.014365038,-9.859325,4000,0,0,0,1
1777225937773000,-0.006426604,0.0023798735,0.0056393165,4000,0,-0.031124622,-0.04429256,-9.884462,4000,0,0,0,1
1777225937777000,-0.013084506,0.005841977,0.009367747,4000,0,0.015562311,-0.0011969301,-9.834185,4000,0,0,0,1
1777225937781000,-0.011486634,0.009570372,0.0013782453,4000,0,0.08619127,0.011971179,-9.781511,4000,0,0,0,1
1777225937785000,-0.0008339772,0.008505125,-0.0034154542,4000,0,0.08259997,0.0011972714,-9.765951,4000,0,0,0,1
1777225937789000,0.004492357,0.0010482825,-0.001284907,4000,0,0.056263745,-0.019153448,-9.764753,4000,0,0,0,1
1777225937793000,0.0026281464,-0.003212773,0.0019108931,4000,0,0.04908113,-0.037109964,-9.76954,4000,0,0,0,1
1777225937797000,0.002628146,-0.0002832928,0.002443532,4000,0,0.010773908,-0.027533151,-9.776724,4000,0,0,0,1
1777225937801000,0.005024989,0.0055756643,0.0011119534,4000,0,-0.041898537,-0.038307063,-9.792284,4000,0,0,0,1
1777225937805000,0.00822079,-1.6976897e-05,0.0019108838,4000,0,-0.029927526,-0.04548967,-9.799467,4000,0,0,0,1
1777225937809000,0.0074218414,-0.0074738255,0.0005792985,4000,0,0.020350713,-0.027533151,-9.79827,4000,0,0,0,1
1777225937813000,0.0004976153,-0.0064085666,0.0019108827,4000,0,0.05267244,-0.002394031,-9.797075,4000,0,0,0,1
1777225937817000,-0.009089769,-0.006674884,0.0053729867,4000,0,0.04908113,0.0083798785,-9.816229,4000,0,0,0,1
1777225937821000,-0.0048287213,-0.00028327617,0.008302473,4000,0,0.051475346,-0.007182434,-9.838972,4000,0,0,0,1
1777225937825000,0.003959706,0.00823885,0.010433,4000,0,0.05746084,-0.009576637,-9.827002,4000,0,0,0,1
1777225937829000,-0.0005676611,0.009037764,0.0059056534,4000,0,0.008379707,-0.010773738,-9.810242,4000,0,0,0,1
1777225937833000,-0.0016329144,0.008505138,0.004307746,4000,0,-0.020350713,-0.02633605,-9.823412,4000,0,0,0,1
1777225937837000,0.0026281686,0.003711459,0.009634058,4000,0,0.019153617,-0.040701255,-9.835382,4000,0,0,0,1
1777225937841000,0.0015628983,-0.0018811916,0.008302485,4000,0,0.062249243,-0.033518657,-9.821016,4000,0,0,0,1
1777225937845000,0.0047586756,0.0007819825,4.6687506e-05,4000,0,0.05267244,-0.008379536,-9.797075,4000,0,0,0,1
1777225937849000,0.014346058,0.002379875,-0.006078587,4000,0,-0.0035913019,0.015562482,-9.797075,4000,0,0,0,1
1777225937853000,0.017541844,-1.6982072e-05,-0.006344916,4000,0,-0.034715924,0.027533494,-9.8114395,4000,0,0,0,1
1777225937857000,0.014346066,0.0034451305,-0.0044806693,4000,0,-0.029927526,0.022745091,-9.787498,4000,0,0,0,1
1777225937861000,0.0039597284,0.0063746464,-0.008475407,4000,0,-0.035913028,0.016759586,-9.777922,4000,0,0,0,1
1777225937865000,-0.007758199,0.0026462234,-0.011404888,4000,0,-0.037110135,0.0035914737,-9.79827,4000,0,0,0,1
1777225937869000,-0.0026981826,-0.0013485508,-0.0020838375,4000,0,0.015562313,-0.00119693,-9.801862,4000,0,0,0,1
1777225937873000,0.0055576186,-0.004011715,0.007237227,4000,0,0.051475346,0.020350887,-9.812637,4000,0,0,0,1
1777225937877000,0.0020955214,-0.004544353,0.003508789,4000,0,0.02274492,0.029927695,-9.805455,4000,0,0,0,1
1777225937881000,0.0018292073,-0.0016148702,-0.0036817405,4000,0,0.021547817,0.009576979,-9.801862,4000,0,0,0,1
1777225937885000,0.003959735,0.0037114457,-0.0015512089,4000,0,0.035913028,0.019153787,-9.8198185,4000,0,0,0,1
1777225937889000,-3.500335e-05,0.0066409227,0.0051067,4000,0,0.017956512,0.04668711,-9.8198185,4000,0,0,0,1
1777225937893000,0.0004976128,0.004244082,0.00084563275,4000,0,0.01316811,0.015562482,-9.830592,4000,0,0,0,1
1777225937897000,0.0063565583,0.0023798684,-0.009540704,4000,0,0.02274492,-0.027533151,-9.822214,4000,0,0,0,1
1777225937901000,0.009818682,0.0018472226,-0.0082091205,4000,0,0.0,-0.03112445,-9.77433,4000,0,0,0,1
1777225937905000,0.0127481595,-0.00081596145,0.0011119395,4000,0,-0.011971008,-0.03351866,-9.755177,4000,0,0,0,1
1777225937909000,0.01354711,-0.008539109,0.0051066615,4000,0,0.01436521,-0.039504156,-9.75757,4000,0,0,0,1
